flow_bpd,eff
7.25454,0.606061
13.836,0.909091
20.4175,1.21212
26.9989,1.66667
33.5804,2.12121
40.1618,2.57576
46.7433,3.0303
53.3248,3.40909
59.9062,3.78788
66.4877,4.24242
73.0692,4.62121
79.6506,5
86.2321,5.45455
92.8135,5.83333
99.395,6.21212
105.976,6.59091
112.558,6.9697
119.139,7.34848
125.721,7.80303
132.302,8.18182
138.884,8.56061
145.465,8.86364
152.047,9.31818
158.628,9.62121
165.21,10.0758
171.791,10.3788
178.373,10.8333
184.954,11.1364
191.535,11.4394
198.117,11.8939
204.698,12.197
211.28,12.6515
217.861,12.9545
224.443,13.2576
231.024,13.7121
237.606,14.0152
244.187,14.3182
250.769,14.697
257.35,15.0758
263.932,15.3788
270.513,15.7576
277.094,16.0606
283.676,16.4394
290.257,16.7424
296.839,17.1212
303.42,17.4242
310.002,17.7273
316.583,18.1061
323.165,18.4848
329.746,18.7879
336.328,19.0909
342.909,19.3939
349.491,19.697
356.072,20.0758
362.654,20.3788
369.235,20.7576
375.816,21.0606
382.398,21.3636
388.979,21.6667
395.561,21.9697
402.142,22.2727
408.724,22.5758
415.305,22.8788
421.887,23.1818
428.468,23.4848
435.05,23.7879
441.631,24.0909
448.213,24.3939
454.794,24.697
461.375,25
467.957,25.303
474.538,25.6061
481.12,25.9091
487.701,26.2121
494.283,26.5152
500.864,26.8182
507.446,27.1212
514.027,27.4242
520.609,27.7273
527.19,27.9545
533.772,28.2576
540.353,28.5606
546.934,28.7879
553.516,29.0909
560.097,29.3939
566.679,29.697
573.26,29.9242
579.842,30.2273
586.423,30.4545
593.005,30.7576
599.586,31.0606
606.168,31.2879
612.749,31.5909
619.331,31.8182
625.912,32.1212
632.493,32.3485
639.075,32.6515
645.656,32.9545
652.238,33.1818
658.819,33.4091
665.401,33.7121
671.982,34.0152
678.564,34.2424
685.145,34.4697
691.727,34.7727
698.308,35
704.89,35.2273
711.471,35.5303
718.052,35.7576
724.634,35.9848
731.215,36.2879
737.797,36.4394
744.378,36.7424
750.96,37.0455
757.541,37.197
764.123,37.5
770.704,37.803
777.286,37.9545
783.867,38.2576
790.449,38.4091
797.03,38.7121
803.611,38.8636
810.193,39.1667
816.774,39.3182
823.356,39.6212
829.937,39.8485
836.519,40.0758
843.1,40.303
849.682,40.5303
856.263,40.7576
862.845,40.9848
869.426,41.2121
876.008,41.4394
882.589,41.6667
889.17,41.8939
895.752,42.0455
902.333,42.3485
908.915,42.5
915.496,42.7273
922.078,42.9545
928.659,43.1818
935.241,43.3333
941.822,43.5606
948.404,43.7879
954.985,44.0152
961.567,44.2424
968.148,44.3939
974.729,44.6212
981.311,44.7727
987.892,45
994.474,45.2273
1001.06,45.3788
1007.64,45.6061
1014.22,45.7576
1020.8,45.9848
1027.38,46.2121
1033.96,46.3636
1040.54,46.5152
1047.13,46.7424
1053.71,46.9697
1060.29,47.1212
1066.87,47.2727
1073.45,47.5
1080.03,47.7273
1086.61,47.8788
1093.2,48.0303
1099.78,48.1818
1106.36,48.3333
1112.94,48.5606
1119.52,48.7879
1126.1,48.9394
1132.68,49.0909
1139.27,49.2424
1145.85,49.3939
1152.43,49.5455
1159.01,49.697
1165.59,49.9242
1172.17,50.1515
1178.75,50.303
1185.34,50.4545
1191.92,50.6061
1198.5,50.7576
1205.08,50.9091
1211.66,51.0606
1218.24,51.2121
1224.83,51.3636
1231.41,51.5152
1237.99,51.6667
1244.57,51.8182
1251.15,51.9697
1257.73,52.1212
1264.31,52.2727
1270.9,52.4242
1277.48,52.5758
1284.06,52.7273
1290.64,52.803
1297.22,52.9545
1303.8,53.1061
1310.38,53.2576
1316.97,53.3333
1323.55,53.4848
1330.13,53.6364
