flow_bpd,power
4.21701,0.621461
11.301,0.623089
18.3851,0.624718
25.4691,0.626346
32.5532,0.627975
39.6372,0.627975
46.7212,0.629603
53.8053,0.631232
60.8893,0.63286
67.9733,0.634489
75.0574,0.636117
82.1414,0.637746
89.2254,0.639374
96.3095,0.639374
103.394,0.641003
110.478,0.642631
117.562,0.64426
124.646,0.645889
131.73,0.647517
138.814,0.649146
145.898,0.650774
152.982,0.652403
160.066,0.654031
167.15,0.65566
174.234,0.657288
181.318,0.658917
188.402,0.660545
195.486,0.662174
202.57,0.663802
209.654,0.665431
216.738,0.667059
223.822,0.668688
230.906,0.670316
237.99,0.671945
245.074,0.673573
252.158,0.675202
259.242,0.67683
266.326,0.678459
273.41,0.680087
280.494,0.681716
287.578,0.683344
294.662,0.684973
301.746,0.68823
308.831,0.68823
315.915,0.691487
322.999,0.693115
330.083,0.694744
337.167,0.696372
344.251,0.698001
351.335,0.699629
358.419,0.701258
365.503,0.702886
372.587,0.704515
379.671,0.707772
386.755,0.7094
393.839,0.711029
400.923,0.712657
408.007,0.714286
415.091,0.717543
422.175,0.717543
429.259,0.7208
436.343,0.722428
443.427,0.724057
450.511,0.725685
457.595,0.727314
464.679,0.730571
471.763,0.732199
478.847,0.733828
485.931,0.735456
493.015,0.737085
500.099,0.740342
507.183,0.74197
514.268,0.743599
521.352,0.745227
528.436,0.746856
535.52,0.750113
542.604,0.751741
549.688,0.75337
556.772,0.756627
563.856,0.756627
570.94,0.759884
578.024,0.761512
585.108,0.763141
592.192,0.766398
599.276,0.768026
606.36,0.769655
613.444,0.772912
620.528,0.772912
627.612,0.776169
634.696,0.777797
641.78,0.779426
648.864,0.782683
655.948,0.784311
663.032,0.78594
670.116,0.789197
677.2,0.790825
684.284,0.792454
691.368,0.795711
698.452,0.797339
705.536,0.798968
712.621,0.802225
719.705,0.802225
726.789,0.805482
733.873,0.808739
740.957,0.808739
748.041,0.811996
755.125,0.815253
762.209,0.815253
769.293,0.81851
776.377,0.821767
783.461,0.821767
790.545,0.825024
797.629,0.828281
804.713,0.828281
811.797,0.831538
818.881,0.834795
825.965,0.834795
833.049,0.838052
840.133,0.841309
847.217,0.841309
854.301,0.844566
861.385,0.847823
868.469,0.847823
875.553,0.85108
882.637,0.854337
889.721,0.854337
896.805,0.857594
903.889,0.860851
910.973,0.864108
918.058,0.867365
925.142,0.870622
2596.97,1.33312
2604.06,1.33312
2611.14,1.33312
2618.23,1.33475
2625.31,1.33475
2632.39,1.33475
2639.48,1.33637
2646.56,1.338
2653.65,1.338
2660.73,1.33963
2667.81,1.33963
2674.9,1.34126
2681.98,1.34126
2689.07,1.34289
2696.15,1.34452
2703.23,1.34452
2710.32,1.34615
2717.4,1.34615
2724.49,1.34777
2731.57,1.34777
2738.65,1.3494
2745.74,1.3494
2752.82,1.35103
2759.91,1.35103
2766.99,1.35266
2774.07,1.35266
2781.16,1.35429
2788.24,1.35429
2795.33,1.35592
2802.41,1.35592
2809.49,1.35755
2816.58,1.35755
2823.66,1.35755
2830.75,1.35917
2837.83,1.35917
2844.92,1.3608
2852,1.3608
2859.08,1.3608
2866.17,1.3608
2873.25,1.36243
2880.34,1.36406
2887.42,1.36406
2894.5,1.36406
2901.59,1.36406
2908.67,1.36406
2915.76,1.36569
2922.84,1.36569
2929.92,1.36732
2937.01,1.36732
2944.09,1.36732
2951.18,1.36732
2958.26,1.36732
2965.34,1.36732
2972.43,1.36894
2979.51,1.36894
2986.6,1.36894
2993.68,1.37057
3000.76,1.37057
3007.85,1.37057
3014.93,1.37057
3022.02,1.37057
3029.1,1.37057
3036.18,1.37057
3043.27,1.37057
3050.35,1.37057
3057.44,1.3722
3064.52,1.3722
3071.6,1.3722
3078.69,1.3722
3085.77,1.3722
3092.86,1.3722
3099.94,1.3722
3107.02,1.3722
3114.11,1.3722
3121.19,1.3722
3128.28,1.3722
3135.36,1.3722
3142.44,1.3722
3149.53,1.3722
3156.61,1.3722
3163.7,1.3722
3170.78,1.3722
3177.86,1.3722
3184.95,1.37057
3192.03,1.37057
3199.12,1.37057
3206.2,1.37057
3213.28,1.37057
3220.37,1.37057
3227.45,1.37057
3234.54,1.37057
3241.62,1.37057
3248.71,1.37057
3255.79,1.36894
3262.87,1.36894
3269.96,1.36894
3277.04,1.36732
3284.13,1.36732
3291.21,1.36732
3298.29,1.36732
3305.38,1.36732
3312.46,1.36569
3319.55,1.36569
3326.63,1.36406
3333.71,1.36406
3340.8,1.36406
3347.88,1.36406
3354.97,1.36243
3362.05,1.3608
3369.13,1.3608
3376.22,1.3608
3383.3,1.3608
3390.39,1.35917
3397.47,1.35755
3404.55,1.35755
3411.64,1.35755
3418.72,1.35755
3425.81,1.35592
3432.89,1.35429
3439.97,1.35429
3447.06,1.35266
3454.14,1.35266
3461.23,1.35103
3468.31,1.35103
3475.39,1.3494
3482.48,1.34777
3489.56,1.34777
3496.65,1.34615
3503.73,1.34615
