flow_bpd,eff
25.2387,0.862069
34.2787,1.12069
43.3187,1.46552
52.3587,1.81034
61.3988,2.06897
70.4388,2.32759
79.4788,2.67241
88.5189,2.93103
97.5589,3.18966
106.599,3.53448
115.639,3.87931
124.679,4.05172
133.719,4.39655
142.759,4.65517
151.799,5
160.839,5.25862
169.879,5.51724
178.919,5.77586
187.959,6.12069
196.999,6.37931
206.039,6.63793
215.079,6.98276
224.119,7.24138
233.159,7.5
242.199,7.84483
251.239,8.10345
260.279,8.36207
269.319,8.62069
278.359,8.96552
287.4,9.22414
296.44,9.48276
305.48,9.74138
314.52,10.0862
323.56,10.2586
332.6,10.6034
341.64,10.8621
350.68,11.2069
359.72,11.4655
368.76,11.8103
377.8,11.9828
386.84,12.1552
395.88,12.5
404.92,12.8448
413.96,13.1034
423,13.3621
432.04,13.6207
441.08,13.8793
450.12,14.1379
459.16,14.4828
468.2,14.7414
477.24,15
486.28,15.2586
495.32,15.6034
504.36,15.7759
513.4,16.0345
522.44,16.2931
531.48,16.5517
540.52,16.8103
549.56,17.069
558.6,17.3276
567.64,17.5862
576.68,17.8448
585.72,18.1034
594.761,18.3621
603.801,18.5345
612.841,18.7931
621.881,19.1379
630.921,19.3103
639.961,19.569
649.001,19.8276
658.041,20.0862
667.081,20.2586
676.121,20.6034
685.161,20.8621
694.201,21.0345
703.241,21.3793
712.281,21.5517
721.321,21.8103
730.361,22.069
739.401,22.3276
748.441,22.5862
757.481,22.7586
766.521,23.1034
775.561,23.2759
784.601,23.5345
793.641,23.7931
802.681,23.9655
811.721,24.1379
820.761,24.3966
838.841,25
847.881,25.1724
856.921,25.3448
865.961,25.6897
875.001,25.9483
884.041,26.0345
893.081,26.3793
902.122,26.5517
911.162,26.7241
920.202,26.9828
929.242,27.2414
938.282,27.4138
947.322,27.6724
956.362,27.931
965.402,28.1034
974.442,28.2759
983.482,28.6207
992.522,28.7931
1001.56,29.0517
1010.6,29.2241
1019.64,29.4828
1028.68,29.6552
1037.72,29.9138
1046.76,30.0862
1055.8,30.2586
1064.84,30.5172
1073.88,30.6897
1082.92,30.9483
1091.96,31.2069
1101,31.3793
1110.04,31.5517
1119.08,31.8103
1128.12,32.069
1137.16,32.1552
1146.2,32.4138
1155.24,32.5862
1164.28,32.931
1173.32,33.1034
1182.36,33.2759
1191.4,33.4483
1200.44,33.7069
1209.48,33.8793
1218.52,34.1379
1227.56,34.3103
1236.6,34.4828
1245.64,34.7414
1254.68,34.9138
1263.72,35.0862
1272.76,35.3448
1281.8,35.5172
1290.84,35.6897
1299.88,35.8621
1308.92,36.0345
1317.96,36.2069
1327,36.3793
1336.04,36.5517
1345.08,36.8966
1354.12,37.069
1363.16,37.2414
1372.2,37.4138
1381.24,37.5862
1390.28,37.7586
1399.32,37.931
1408.36,38.1034
1417.4,38.2759
1426.44,38.4483
1435.48,38.6207
1444.52,38.8793
1453.56,39.1379
1462.6,39.3103
1471.64,39.4828
1480.68,39.6552
1489.72,39.8276
1498.76,40
1507.8,40.1724
1516.84,40.3448
1525.88,40.5172
1534.92,40.6897
1543.96,40.8621
1553,41.0345
1562.04,41.2069
1571.08,41.3793
1580.12,41.5517
1589.16,41.8103
1598.2,41.9828
1607.24,42.069
1616.28,42.2414
1625.32,42.5862
1634.36,42.5862
1643.4,42.8448
1652.44,42.931
1661.48,43.1034
1670.52,43.2759
1679.56,43.4483
1688.6,43.6207
1697.64,43.7931
1706.68,43.9655
1715.72,44.1379
1724.76,44.3103
1733.8,44.4828
1742.84,44.6552
1751.88,44.8276
1760.92,45
1769.96,45.1724
1779,45.3448
1788.04,45.5172
1797.08,45.6034
1806.12,45.9483
1815.16,46.0345
1824.2,46.0345
1833.24,46.2069
1842.28,46.4655
1851.32,46.5517
1860.36,46.7241
1869.4,46.8966
1878.44,47.069
1887.48,47.2414
1896.52,47.4138
1905.56,47.5862
1914.6,47.7586
1923.64,47.931
1932.68,48.0172
1941.72,48.1034
1950.76,48.2759
1959.8,48.4483
1968.85,48.6207
1977.89,48.7931
1986.93,48.9655
1995.97,49.1379
2005.01,49.2241
2014.05,49.3103
2023.09,49.4828
2032.13,49.6552
2041.17,49.8276
2050.21,50
2059.25,50.0862
2068.29,50.1724
2077.33,50.3448
2086.37,50.5172
2095.41,50.6897
2104.45,50.8621
2113.49,50.9483
2122.53,51.1207
