flow_bpd,power
9.86415,0.187015
15.0861,0.190899
20.308,0.194783
25.5299,0.198667
30.7519,0.20255
35.9738,0.206434
41.1957,0.210318
46.4177,0.214202
51.6396,0.218085
56.8615,0.221969
62.0835,0.225853
67.3054,0.229737
72.5273,0.233621
77.7493,0.237504
82.9712,0.241388
88.1931,0.245272
93.415,0.245272
98.637,0.249156
103.859,0.25304
109.081,0.256923
114.303,0.260807
119.525,0.260807
124.747,0.264691
129.969,0.268575
135.19,0.272458
140.412,0.276342
145.634,0.276342
150.856,0.280226
156.078,0.28411
161.3,0.287994
166.522,0.287994
171.744,0.291877
176.966,0.295761
182.188,0.299645
187.41,0.299645
192.632,0.303529
197.854,0.307412
203.076,0.307412
208.298,0.311296
213.519,0.31518
218.741,0.31518
223.963,0.319064
229.185,0.322948
234.407,0.322948
239.629,0.326831
244.851,0.326831
250.073,0.330715
255.295,0.334599
260.517,0.334599
265.739,0.338483
270.961,0.338483
276.183,0.342367
281.405,0.34625
286.626,0.34625
291.848,0.350134
297.07,0.350134
302.292,0.354018
307.514,0.357902
312.736,0.357902
317.958,0.361785
323.18,0.365669
328.402,0.365669
333.624,0.365669
338.846,0.369553
344.068,0.369553
349.29,0.373437
354.512,0.373437
359.734,0.377321
364.955,0.377321
370.177,0.377321
375.399,0.381204
380.621,0.385088
385.843,0.385088
391.065,0.385088
396.287,0.388972
401.509,0.388972
406.731,0.388972
411.953,0.392856
417.175,0.392856
422.397,0.396739
427.619,0.396739
432.841,0.400623
438.062,0.400623
443.284,0.400623
448.506,0.404507
453.728,0.408391
458.95,0.408391
464.172,0.408391
469.394,0.412275
474.616,0.412275
479.838,0.416158
485.06,0.416158
490.282,0.420042
495.504,0.420042
500.726,0.420042
505.948,0.420042
511.17,0.423926
516.391,0.423926
521.613,0.423926
526.835,0.42781
532.057,0.42781
537.279,0.42781
542.501,0.431693
547.723,0.431693
552.945,0.431693
558.167,0.435577
563.389,0.435577
568.611,0.435577
573.833,0.435577
579.055,0.439461
584.277,0.439461
589.498,0.439461
594.72,0.439461
599.942,0.443345
605.164,0.443345
610.386,0.443345
615.608,0.447229
620.83,0.447229
626.052,0.447229
631.274,0.447229
636.496,0.451112
641.718,0.451112
646.94,0.451112
652.162,0.451112
657.384,0.451112
662.606,0.454996
667.827,0.454996
673.049,0.454996
678.271,0.454996
683.493,0.45888
688.715,0.45888
693.937,0.45888
699.159,0.45888
704.381,0.462764
709.603,0.462764
714.825,0.462764
720.047,0.462764
725.269,0.462764
730.491,0.466648
735.713,0.466648
740.934,0.466648
746.156,0.466648
751.378,0.466648
756.6,0.470531
761.822,0.470531
767.044,0.470531
772.266,0.470531
777.488,0.470531
782.71,0.470531
787.932,0.474415
793.154,0.474415
798.376,0.474415
803.598,0.478299
808.82,0.478299
814.041,0.478299
819.263,0.478299
824.485,0.478299
829.707,0.478299
834.929,0.478299
840.151,0.478299
845.373,0.482183
850.595,0.482183
855.817,0.482183
861.039,0.482183
866.261,0.482183
871.483,0.482183
876.705,0.486066
881.927,0.486066
887.149,0.486066
892.37,0.486066
897.592,0.486066
