flow_bpd,head
142.364,30.7979
144.781,30.7979
147.198,30.716
149.615,30.716
152.032,30.7979
154.45,30.716
156.867,30.716
159.284,30.716
161.701,30.716
164.119,30.716
166.536,30.716
168.953,30.716
171.37,30.716
173.788,30.716
176.205,30.716
185.874,30.5524
188.291,30.5524
190.708,30.5524
193.125,30.6342
195.543,30.5524
197.96,30.5524
200.377,30.5524
202.794,30.5524
205.212,30.5524
207.629,30.5524
210.046,30.5524
212.463,30.5524
214.88,30.5524
217.298,30.5524
219.715,30.5524
222.132,30.5524
224.549,30.5524
234.218,30.3887
236.636,30.3887
239.053,30.3887
241.47,30.3887
243.887,30.3887
246.304,30.3887
248.722,30.3887
251.139,30.3887
253.556,30.3887
255.973,30.3887
258.391,30.3887
260.808,30.3887
263.225,30.3887
265.642,30.3887
268.06,30.3887
270.477,30.3887
272.894,30.3887
275.311,30.3887
284.98,30.225
287.397,30.225
289.815,30.225
292.232,30.225
294.649,30.3069
297.066,30.225
299.484,30.225
301.901,30.225
304.318,30.225
306.735,30.225
309.152,30.225
311.57,30.225
313.987,30.1432
316.404,30.1432
318.821,30.1432
321.239,30.1432
323.656,30.1432
326.073,30.1432
328.49,30.0614
330.908,30.0614
333.325,30.0614
335.742,30.0614
338.159,30.0614
340.576,30.0614
342.994,30.1432
345.411,30.0614
347.828,30.0614
350.245,30.0614
352.663,30.0614
355.08,30.0614
357.497,30.0614
359.914,29.9795
362.332,29.9795
364.749,29.9795
367.166,29.9795
369.583,29.9795
372,29.9795
374.418,29.8977
376.835,29.8977
379.252,29.8977
381.669,29.8977
384.087,29.8977
386.504,29.8977
388.921,29.8977
391.338,29.8977
393.756,29.8159
543.624,28.3429
546.041,28.2611
548.458,28.2611
550.876,28.2611
553.293,28.0974
555.71,28.0974
558.127,28.0974
560.545,28.0974
562.962,28.0974
565.379,27.9337
567.796,27.9337
570.213,27.9337
572.631,27.9337
575.048,27.9337
577.465,27.7701
579.882,27.7701
582.3,27.7701
758.757,23.5147
761.175,23.5147
763.592,23.3511
766.009,23.3511
768.426,23.1874
770.844,23.1874
773.261,23.0237
775.678,23.0237
778.095,22.8601
780.513,22.8601
782.93,22.6964
785.347,22.6964
787.764,22.5328
790.181,22.5328
792.599,22.3691
795.016,22.2873
797.433,22.2054
799.85,22.1236
802.268,22.0418
804.685,22.0418
807.102,21.9599
809.519,21.8781
811.937,21.7144
814.354,21.7144
816.771,21.5508
819.188,21.5508
821.606,21.3871
831.274,21.0598
833.692,20.8961
836.109,20.8961
838.526,20.7324
840.943,20.7324
843.361,20.5688
845.778,20.4869
848.195,20.4051
850.612,20.2414
853.03,20.1596
855.447,20.0778
857.864,20.0778
860.281,19.9959
862.698,19.9141
865.116,19.7504
882.036,19.0958
884.454,18.9321
886.871,18.9321
889.288,18.7684
891.705,18.7684
894.122,18.6048
896.54,18.4411
898.957,18.4411
901.374,18.2774
903.791,18.1138
906.209,18.1138
908.626,17.9501
911.043,17.9501
913.46,17.7864
915.878,17.6228
920.712,17.4591
923.129,17.2954
925.546,17.2954
927.964,17.1318
930.381,16.9681
932.798,16.9681
935.215,16.8044
937.633,16.6408
940.05,16.6408
942.467,16.4771
944.884,16.3953
947.302,16.3135
949.719,16.068
952.136,15.9861
954.553,15.9861
956.97,15.9043
959.388,15.6588
961.805,15.6588
964.222,15.4951
966.639,15.3315
969.057,15.2496
971.474,15.1678
973.891,15.0041
976.308,14.8405
978.726,14.8405
981.143,14.6768
983.56,14.5131
985.977,14.4313
988.394,14.3495
990.812,14.1858
993.229,14.104
995.646,13.9403
998.063,13.8585
1000.48,13.6948
1002.9,13.5311
1005.32,13.5311
1007.73,13.3675
1010.15,13.2038
1012.57,13.122
1014.98,13.0401
1017.4,12.8765
1019.82,12.7128
1022.24,12.631
1024.65,12.5491
1027.07,12.3855
1029.49,12.2218
1031.9,12.14
1034.32,12.0581
1036.74,11.9763
1039.16,11.7308
1041.57,11.5671
1043.99,11.4853
1046.41,11.3216
1048.83,11.2398
1051.24,11.0761
1053.66,11.0761
1056.08,10.9125
1058.49,10.7488
1060.91,10.5852
1063.33,10.5033
1065.75,10.4215
1068.16,10.176
1070.58,10.0942
1073,10.0123
1075.41,9.84866
1077.83,9.76682
1080.25,9.60316
1082.67,9.43949
1087.5,9.11216
1089.92,9.11216
1092.34,8.94849
1094.75,8.78483
1097.17,8.62116
1099.59,8.53933
1102,8.4575
1104.42,8.29383
1106.84,8.04833
1109.26,7.9665
1111.67,7.88467
1114.09,7.721
1116.51,7.63917
1118.92,7.4755
1121.34,7.31184
1123.76,7.14817
1126.18,6.98451
1128.59,6.90267
1131.01,6.82084
1133.43,6.65717
1135.85,6.49351
1193.86,3.13836
1196.28,3.05653
1198.69,2.89286
1201.11,2.7292
1203.53,2.56553
1205.95,2.4837
1208.36,2.40187
1210.78,2.15637
1213.2,2.07453
1215.61,1.9927
1218.03,1.7472
1220.45,1.58354
1222.87,1.5017
1225.28,1.33804
1227.7,1.2562
1230.12,1.09254
1232.53,0.928873
1234.95,0.765208
1237.37,0.601542
1239.79,0.437876
1242.2,0.356043
1244.62,0.192378
1247.04,0.110545
