flow_bpd,eff
5.42597,1.14547
9.36778,1.31938
13.3096,1.49329
17.2514,1.84111
21.1932,2.18893
25.135,2.4498
29.0768,2.79762
33.0186,3.05848
36.9604,3.40631
40.9022,3.75413
44.844,4.01499
48.7858,4.36282
52.7276,4.71064
56.6694,4.79759
60.6112,4.9715
64.553,5.58019
68.4948,5.92801
72.4366,6.18888
76.3784,6.5367
80.3202,6.88452
84.262,7.14539
88.2038,7.49321
92.1456,7.75408
96.0874,8.1019
100.029,8.36276
103.971,8.71059
107.913,8.97145
111.855,9.31927
115.796,9.58014
119.738,9.92796
123.68,10.1888
127.622,10.5366
131.564,10.7975
135.505,11.1453
139.447,11.4062
143.389,11.6671
147.331,12.0149
151.273,12.3627
155.214,12.6236
159.156,12.8844
163.098,13.2323
167.04,13.4931
170.982,13.754
174.924,14.1018
178.865,14.3627
182.807,14.6236
186.749,14.9714
190.691,15.2322
194.633,15.4931
198.574,15.8409
202.516,16.1018
206.458,16.3627
210.4,16.7105
214.342,16.8844
218.283,17.2322
222.225,17.58
226.167,17.7539
230.109,18.1018
234.051,18.4496
237.992,18.6235
241.934,18.9713
245.876,19.1452
249.818,19.4931
253.76,19.8409
257.701,20.0148
261.643,20.3626
265.585,20.5365
269.527,20.8843
273.469,21.0583
277.41,21.4061
281.352,21.7539
285.294,21.9278
289.236,22.2756
293.178,22.4495
297.119,22.7974
301.061,22.9713
305.003,23.3191
308.945,23.493
312.887,23.8408
316.828,24.1017
320.77,24.3626
324.712,24.6234
328.654,24.8843
332.596,25.1452
336.537,25.406
340.479,25.6669
344.421,25.9278
348.363,26.1886
352.305,26.4495
356.246,26.6234
360.188,26.8843
364.13,27.1451
368.072,27.406
372.014,27.7538
375.955,27.9277
379.897,28.1886
383.839,28.4495
387.781,28.7103
391.723,28.9712
395.664,29.2321
399.606,29.406
403.548,29.6668
407.49,29.9277
411.432,30.1886
415.373,30.4494
419.315,30.7103
423.257,30.9712
427.199,31.1451
431.141,31.4059
435.083,31.6668
439.024,31.9277
442.966,32.1885
446.908,32.4494
450.85,32.6233
454.792,32.8842
458.733,33.1451
462.675,33.319
466.617,33.5798
470.559,33.8407
474.501,34.0146
478.442,34.2755
482.384,34.5363
486.326,34.7103
490.268,34.8842
494.21,35.0581
498.151,35.4059
513.919,36.1885
517.86,36.3624
521.802,36.6233
525.744,36.7972
529.686,36.9711
533.628,37.232
537.569,37.4059
541.511,37.6667
545.453,37.8406
549.395,38.0146
553.337,38.1885
557.278,38.4493
561.22,38.7102
565.162,38.8841
569.104,39.058
573.046,39.2319
576.987,39.4928
