flow_bpd,head
5.42597,28.4495
9.36778,28.4495
13.3096,28.4495
17.2514,28.4495
21.1932,28.4495
25.135,28.4495
29.0768,28.3625
33.0186,28.2756
36.9604,28.2756
40.9022,28.2756
44.844,28.2756
48.7858,28.2756
52.7276,28.2756
56.6694,28.2756
60.6112,28.2756
64.553,28.2756
68.4948,28.2756
72.4366,28.2756
76.3784,28.1016
80.3202,28.1016
84.262,28.1016
88.2038,28.1016
92.1456,28.1016
96.0874,28.1016
100.029,28.1016
103.971,28.1016
107.913,28.1016
111.855,28.1016
115.796,28.1016
119.738,28.1016
123.68,27.9277
127.622,27.9277
131.564,27.9277
135.505,27.9277
139.447,27.9277
143.389,27.9277
147.331,27.9277
151.273,27.9277
155.214,27.9277
159.156,27.9277
163.098,27.9277
167.04,27.9277
170.982,27.8408
174.924,27.7538
178.865,27.7538
182.807,27.7538
186.749,27.7538
190.691,27.7538
194.633,27.7538
198.574,27.7538
202.516,27.7538
206.458,27.7538
210.4,27.7538
214.342,27.7538
218.283,27.7538
222.225,27.6669
226.167,27.5799
230.109,27.5799
234.051,27.5799
237.992,27.5799
241.934,27.5799
245.876,27.5799
249.818,27.5799
253.76,27.5799
257.701,27.5799
261.643,27.5799
265.585,27.5799
269.527,27.5799
273.469,27.493
277.41,27.406
281.352,27.406
285.294,27.406
289.236,27.406
293.178,27.406
297.119,27.406
301.061,27.406
305.003,27.406
308.945,27.406
312.887,27.406
316.828,27.406
320.77,27.406
324.712,27.406
328.654,27.319
332.596,27.2321
336.537,27.2321
340.479,27.2321
344.421,27.2321
348.363,27.2321
352.305,27.2321
356.246,27.319
372.014,27.0582
375.955,27.1451
379.897,27.0582
383.839,27.0582
387.781,27.0582
391.723,27.0582
395.664,27.0582
399.606,27.0582
403.548,27.0582
407.49,27.0582
411.432,27.0582
415.373,27.0582
419.315,27.0582
423.257,27.0582
427.199,27.0582
431.141,26.9712
435.083,26.8843
439.024,26.8843
442.966,26.8843
446.908,26.8843
450.85,26.8843
454.792,26.8843
458.733,26.8843
462.675,26.8843
466.617,26.8843
470.559,26.8843
474.501,26.8843
478.442,26.8843
482.384,26.6234
486.326,26.6234
490.268,26.6234
494.21,26.6234
498.151,26.6234
502.093,26.6234
506.035,26.6234
509.977,26.6234
513.919,26.6234
517.86,26.6234
521.802,26.6234
525.744,26.5364
529.686,26.5364
533.628,26.5364
537.569,26.5364
541.511,26.5364
545.453,26.5364
549.395,26.5364
553.337,26.5364
557.278,26.5364
561.22,26.5364
565.162,26.5364
569.104,26.5364
573.046,26.4495
576.987,26.4495
580.929,26.3625
584.871,26.3625
588.813,26.3625
592.755,26.3625
596.696,26.3625
600.638,26.3625
604.58,26.3625
608.522,26.3625
612.464,26.3625
616.405,26.3625
620.347,26.2756
624.289,26.2756
628.231,26.1886
632.173,26.1886
636.114,26.1886
640.056,26.1886
643.998,26.1886
647.94,26.1886
651.882,26.1886
655.823,26.1886
659.765,26.1886
663.707,26.1886
667.649,26.1017
671.591,26.0147
675.532,26.0147
679.474,26.0147
683.416,26.0147
687.358,26.0147
691.3,26.0147
695.241,26.0147
699.183,26.0147
703.125,26.0147
707.067,26.0147
711.009,25.9278
714.951,25.9278
718.892,25.8408
722.834,25.8408
726.776,25.8408
730.718,25.8408
734.66,25.8408
738.601,25.8408
742.543,25.8408
746.485,25.8408
750.427,25.7538
754.369,25.7538
758.31,25.6669
762.252,25.6669
766.194,25.6669
770.136,25.6669
774.078,25.6669
778.019,25.6669
781.961,25.6669
785.903,25.6669
789.845,25.5799
793.787,25.5799
797.728,25.493
801.67,25.493
805.612,25.493
809.554,25.493
813.496,25.493
817.437,25.493
821.379,25.493
825.321,25.493
829.263,25.406
833.205,25.406
837.146,25.3191
841.088,25.3191
845.03,25.3191
848.972,25.3191
852.914,25.3191
856.855,25.3191
860.797,25.3191
864.739,25.3191
868.681,25.2321
872.623,25.1452
876.564,25.1452
880.506,25.1452
884.448,25.1452
888.39,25.1452
892.332,25.1452
896.273,25.1452
900.215,25.1452
904.157,25.0582
908.099,24.9712
912.041,24.9712
915.982,24.9712
919.924,24.9712
923.866,24.9712
927.808,24.9712
931.75,24.9712
935.691,24.9712
939.633,24.8843
943.575,24.7973
947.517,24.7973
951.459,24.7973
955.4,24.7973
959.342,24.7973
963.284,24.7973
967.226,24.7973
971.168,24.7973
975.11,24.7104
979.051,24.6234
982.993,24.6234
986.935,24.6234
990.877,24.6234
994.819,24.6234
998.76,24.6234
1002.7,24.5365
1006.64,24.5365
1010.59,24.4495
1014.53,24.4495
1018.47,24.4495
1022.41,24.4495
1026.35,24.4495
1030.29,24.4495
1034.24,24.4495
1038.18,24.3626
1042.12,24.2756
1046.06,24.2756
1050,24.2756
1053.95,24.2756
1057.89,24.2756
1061.83,24.2756
1065.77,24.2756
1069.71,24.1886
1073.65,24.1017
1077.6,24.1017
1081.54,24.1017
1085.48,24.1017
1089.42,24.1017
1093.36,24.1017
1097.31,24.0147
1101.25,24.0147
1105.19,23.9278
1109.13,23.9278
1113.07,23.9278
1117.01,23.9278
1120.96,23.9278
1124.9,23.8408
1128.84,23.8408
1132.78,23.7539
1136.72,23.7539
1140.67,23.7539
1144.61,23.7539
1148.55,23.7539
1152.49,23.7539
1156.43,23.6669
1160.37,23.58
1164.32,23.58
1168.26,23.58
1172.2,23.58
1176.14,23.58
1180.08,23.58
1184.03,23.493
1187.97,23.406
1191.91,23.406
1195.85,23.406
1199.79,23.406
1203.73,23.406
1207.68,23.406
1211.62,23.3191
1215.56,23.2321
1219.5,23.2321
1223.44,23.2321
1227.38,23.2321
1231.33,23.2321
1235.27,23.2321
1239.21,23.1452
1243.15,23.0582
1247.09,23.0582
1251.04,23.0582
1254.98,23.0582
1258.92,23.0582
1262.86,22.9713
1266.8,22.9713
1270.74,22.8843
1274.69,22.8843
1278.63,22.8843
1282.57,22.8843
1286.51,22.8843
1290.45,22.7974
1294.4,22.7104
1298.34,22.7104
1302.28,22.7104
1306.22,22.7104
1310.16,22.7104
1314.1,22.6235
1318.05,22.5365
1321.99,22.5365
1325.93,22.5365
1329.87,22.5365
1333.81,22.5365
1337.76,22.5365
1341.7,22.4495
1345.64,22.3626
1349.58,22.3626
1353.52,22.3626
1357.46,22.3626
1361.41,22.2756
1365.35,22.2756
1369.29,22.1887
1373.23,22.1887
1377.17,22.1887
1381.12,22.1887
1385.06,22.1887
1389,22.1017
1392.94,22.0148
1396.88,22.0148
1400.82,22.0148
1404.77,22.0148
1408.71,22.0148
1412.65,21.9278
1416.59,21.8409
1420.53,21.8409
1424.48,21.8409
1428.42,21.8409
1432.36,21.8409
1436.3,21.7539
1440.24,21.7539
1444.18,21.6669
1448.13,21.6669
1452.07,21.6669
1456.01,21.58
1459.95,21.493
1463.89,21.493
1467.83,21.493
1471.78,21.493
1475.72,21.493
1479.66,21.4061
1483.6,21.3191
1487.54,21.3191
1491.49,21.3191
1495.43,21.3191
1499.37,21.2322
1503.31,21.2322
1507.25,21.1452
1511.19,21.1452
1515.14,21.1452
1519.08,21.1452
1523.02,21.0583
1526.96,20.9713
1530.9,20.9713
1534.85,20.9713
1538.79,20.9713
1542.73,20.8843
1546.67,20.7974
1550.61,20.7974
1554.55,20.7974
1558.5,20.7974
1562.44,20.7974
1566.38,20.7104
1570.32,20.6235
1574.26,20.6235
1578.21,20.6235
1582.15,20.6235
1586.09,20.5365
1590.03,20.4496
1593.97,20.4496
1597.91,20.4496
1601.86,20.4496
1605.8,20.3626
1609.74,20.2757
1613.68,20.2757
1617.62,20.2757
1621.57,20.2757
1625.51,20.1887
1629.45,20.1017
1633.39,20.1017
1637.33,20.1017
1641.27,20.1017
1645.22,20.0148
1649.16,19.9278
1653.1,19.9278
1657.04,19.9278
1660.98,19.9278
1664.93,19.8409
1668.87,19.7539
1672.81,19.7539
1676.75,19.7539
1680.69,19.7539
1684.63,19.667
1688.58,19.58
1692.52,19.58
1696.46,19.58
1700.4,19.58
1704.34,19.4931
1708.28,19.4061
1712.23,19.4061
1716.17,19.4061
1720.11,19.4061
1724.05,19.3191
1727.99,19.2322
1731.94,19.2322
1735.88,19.2322
1739.82,19.2322
1743.76,19.1452
1747.7,19.0583
1751.64,19.0583
1755.59,19.0583
1759.53,19.0583
1763.47,18.9713
1767.41,18.8844
1771.35,18.8844
1775.3,18.8844
1779.24,18.8844
1783.18,18.7974
1787.12,18.7105
1791.06,18.7105
1795,18.7105
1798.95,18.6235
1802.89,18.5365
1806.83,18.5365
1810.77,18.5365
1814.71,18.5365
1818.66,18.4496
1822.6,18.3626
1826.54,18.3626
1830.48,18.3626
1834.42,18.3626
1838.36,18.2757
1842.31,18.1887
1846.25,18.1887
1850.19,18.1887
1854.13,18.1018
1858.07,18.0148
1862.02,18.0148
1865.96,18.0148
1869.9,17.9279
1873.84,17.8409
1877.78,17.8409
1881.72,17.8409
1885.67,17.8409
1889.61,17.7539
1893.55,17.667
1897.49,17.667
1901.43,17.667
1905.38,17.58
1909.32,17.4931
1913.26,17.4931
1917.2,17.4931
1921.14,17.4061
1925.08,17.3192
1929.03,17.3192
1932.97,17.3192
1936.91,17.3192
1940.85,17.2322
1944.79,17.1453
1948.73,17.1453
1952.68,17.1453
1956.62,17.0583
1960.56,16.9713
1964.5,16.9713
1968.44,16.9713
1972.39,16.8844
1976.33,16.7974
1980.27,16.7974
1984.21,16.7974
1988.15,16.7105
1992.09,16.6235
1996.04,16.6235
1999.98,16.6235
2003.92,16.6235
2007.86,16.5366
2011.8,16.4496
2015.75,16.4496
2019.69,16.4496
2023.63,16.3627
2027.57,16.2757
2031.51,16.2757
2035.45,16.2757
2039.4,16.1888
2043.34,16.1018
2047.28,16.1018
2051.22,16.1018
2055.16,16.0148
2059.11,15.9279
2063.05,15.9279
2066.99,15.9279
2070.93,15.8409
2074.87,15.754
2078.81,15.754
2082.76,15.754
2086.7,15.667
2090.64,15.5801
2094.58,15.5801
2098.52,15.5801
2102.47,15.4931
2106.41,15.4062
2110.35,15.4062
2114.29,15.3192
2118.23,15.3192
2122.17,15.2322
2126.12,15.2322
2130.06,15.2322
2134,15.0583
2137.94,15.0583
2141.88,15.0583
2145.83,14.9714
2149.77,14.8844
2153.71,14.8844
2157.65,14.8844
2161.59,14.7975
2165.53,14.7975
2169.48,14.7105
2173.42,14.7105
2177.36,14.6236
2181.3,14.5366
2185.24,14.5366
2189.18,14.5366
2193.13,14.4496
2197.07,14.3627
2201.01,14.3627
2204.95,14.3627
2208.89,14.1888
2212.84,14.1888
2216.78,14.1888
2220.72,14.1018
2224.66,14.0149
2228.6,14.0149
2232.54,14.0149
2236.49,13.9279
2240.43,13.841
2244.37,13.841
2248.31,13.841
2252.25,13.754
2256.2,13.667
2260.14,13.667
2264.08,13.5801
2268.02,13.4931
2271.96,13.4931
2275.9,13.4931
2279.85,13.4062
2283.79,13.3192
2287.73,13.3192
2291.67,13.2323
2295.61,13.1453
2299.56,13.1453
2303.5,13.1453
2307.44,13.0584
2311.38,12.9714
2315.32,12.9714
2319.26,12.9714
2323.21,12.7975
2327.15,12.7975
2331.09,12.7975
2335.03,12.7105
2338.97,12.6236
2342.92,12.6236
2346.86,12.5366
2350.8,12.4497
2354.74,12.4497
2358.68,12.4497
2362.62,12.3627
2366.57,12.2758
2370.51,12.2758
2374.45,12.1888
2378.39,12.1018
2382.33,12.1018
2386.27,12.1018
2390.22,12.0149
2394.16,11.9279
2398.1,11.9279
2402.04,11.841
2405.98,11.754
2409.93,11.754
2413.87,11.6671
2417.81,11.5801
2421.75,11.5801
2425.69,11.5801
2429.63,11.4932
2433.58,11.4062
2437.52,11.4062
2441.46,11.3192
2445.4,11.2323
2449.34,11.2323
2453.29,11.1453
2457.23,11.0584
2461.17,11.0584
2465.11,11.0584
2469.05,10.8845
2472.99,10.8845
2476.94,10.8845
2480.88,10.7975
2484.82,10.7106
2488.76,10.7106
2492.7,10.6236
2496.65,10.5366
2500.59,10.5366
2504.53,10.4497
2508.47,10.3627
2512.41,10.3627
2516.35,10.2758
2520.3,10.1888
2524.24,10.1888
2528.18,10.1019
2532.12,10.0149
2536.06,10.0149
2540.01,10.0149
2543.95,9.92796
2547.89,9.84101
2551.83,9.84101
2555.77,9.75405
2559.71,9.6671
2563.66,9.6671
2567.6,9.58014
2571.54,9.49318
2575.48,9.49318
2579.42,9.40623
2583.37,9.31927
2587.31,9.31927
2591.25,9.23232
2607.02,8.97145
2610.96,8.97145
2614.9,8.8845
2618.84,8.79754
2622.78,8.79754
2626.72,8.71059
2630.67,8.62363
2634.61,8.62363
2638.55,8.53668
2642.49,8.44972
2646.43,8.36276
2650.38,8.36276
2654.32,8.27581
2658.26,8.27581
2662.2,8.18885
2666.14,8.1019
2670.08,8.1019
2674.03,8.01494
2677.97,7.92799
2681.91,7.92799
2685.85,7.84103
2689.79,7.75408
2693.74,7.75408
2697.68,7.66712
2701.62,7.58017
2705.56,7.49321
2709.5,7.40625
2713.44,7.40625
2717.39,7.3193
2721.33,7.23234
2725.27,7.23234
2729.21,7.14539
2733.15,7.05843
2737.1,7.05843
2741.04,6.97148
2744.98,6.97148
2748.92,6.88452
2752.86,6.71061
2756.8,6.71061
2760.75,6.88452
2772.57,6.27583
2776.51,6.36279
2780.46,6.36279
2784.4,6.18888
2788.34,6.10192
2792.28,6.01497
2796.22,6.01497
2800.16,6.01497
2804.11,5.92801
2808.05,5.84106
2811.99,5.84106
2815.93,5.66715
2819.87,5.66715
2823.82,5.58019
2827.76,5.49324
2831.7,5.49324
2835.64,5.40628
2839.58,5.31933
2843.52,5.31933
2847.47,5.14541
2851.41,5.14541
2855.35,5.05846
2859.29,4.9715
2863.23,4.9715
2867.17,4.88455
2871.12,4.79759
2875.06,4.71064
2879,4.62368
2882.94,4.62368
2886.88,4.44977
2890.83,4.44977
2894.77,4.36282
2898.71,4.27586
2902.65,4.27586
2906.59,4.10195
2910.53,4.10195
2914.48,4.01499
2918.42,3.92804
2922.36,3.92804
2926.3,3.75413
2930.24,3.75413
2934.19,3.66717
2938.13,3.58022
2942.07,3.58022
2946.01,3.40631
2949.95,3.40631
2953.89,3.31935
2957.84,3.2324
2961.78,3.14544
2965.72,3.05848
2969.66,3.05848
2973.6,2.97153
2977.55,2.88457
2981.49,2.79762
2985.43,2.71066
2989.37,2.62371
2993.31,2.53675
2997.25,2.4498
3001.2,2.4498
3005.14,2.36284
3009.08,2.27589
3013.02,2.18893
3016.96,2.10198
3020.91,2.01502
3024.85,2.01502
3028.79,1.84111
3032.73,1.84111
3036.67,1.75415
3040.61,1.6672
3044.56,1.58024
3048.5,1.49329
3052.44,1.40633
3056.38,1.31938
3060.32,1.14547
