flow_bpd,eff
3.66645,0.642633
5.38774,0.936206
7.10904,1.08299
8.83033,1.30317
10.5516,1.52335
12.2729,1.74353
13.9942,1.96371
15.7155,2.18389
17.4368,2.40407
19.1581,2.62426
20.8794,2.84444
22.6007,3.06462
24.322,3.2848
26.0433,3.43158
27.7646,3.65176
29.4859,3.87194
31.2072,4.09212
32.9285,4.3123
34.6497,4.53248
36.371,4.75266
38.0923,4.97284
39.8136,5.19302
41.5349,5.4132
43.2562,5.63339
44.9775,5.85357
46.6988,6.07375
48.4201,6.22053
50.1414,6.44071
51.8627,6.73429
53.584,6.88107
55.3053,7.10125
57.0266,7.32143
58.7479,7.54161
60.4692,7.6884
62.1905,7.90858
63.9118,8.12876
65.633,8.27555
67.3543,8.49573
69.0756,8.71591
70.7969,8.8627
72.5182,9.08288
74.2395,9.30306
75.9608,9.44984
77.6821,9.59663
79.4034,9.81681
81.1247,10.037
82.846,10.2572
84.5673,10.404
86.2886,10.6241
88.0099,10.7709
105.223,13.1929
106.944,13.4131
108.665,13.6333
110.387,13.7801
112.108,14.0002
113.829,14.2204
115.551,14.3672
117.272,14.6608
118.993,14.8076
120.714,15.1011
122.436,15.2479
124.157,15.4681
125.878,15.6883
127.6,15.8351
129.321,16.1286
131.042,16.2754
132.764,16.4956
134.485,16.7158
136.206,16.8626
137.927,17.1562
139.649,17.3029
141.37,17.4497
143.091,17.7433
144.813,17.8901
146.534,18.1837
148.255,18.3304
149.976,18.5506
151.698,18.7708
153.419,18.9176
155.14,19.1378
156.862,19.358
158.583,19.5047
160.304,19.7249
162.026,20.0185
163.747,20.1653
165.468,20.3855
167.189,20.5322
168.911,20.7524
170.632,20.9726
172.353,21.1194
174.075,21.3396
175.796,21.5598
177.517,21.7065
179.238,21.9267
180.96,22.1469
182.681,22.2937
184.402,22.5139
186.124,22.7341
187.845,22.8808
189.566,23.101
191.288,23.3212
193.009,23.468
194.73,23.6148
196.451,23.9083
198.173,24.0551
199.894,24.2019
201.615,24.4221
203.337,24.6423
205.058,24.7891
206.779,25.0092
208.5,25.2294
210.222,25.3762
211.943,25.5964
213.664,25.7432
215.386,25.9634
217.107,26.1101
218.828,26.3303
220.55,26.5505
222.271,26.6973
223.992,26.9175
225.713,27.0643
227.435,27.2844
229.156,27.4312
230.877,27.6514
232.599,27.7982
234.32,27.945
236.041,28.1652
237.762,28.3853
239.484,28.5321
241.205,28.6789
242.926,28.8991
244.648,29.1193
246.369,29.2661
248.09,29.4129
249.812,29.7064
251.533,29.7798
253.254,30
254.975,30.1468
256.697,30.2936
258.418,30.5138
260.139,30.6605
261.861,30.8807
263.582,31.0275
265.303,31.1743
267.024,31.3211
268.746,31.5413
270.467,31.688
272.188,31.9082
273.91,32.055
275.631,32.2018
277.352,32.422
279.074,32.5688
280.795,32.7156
282.516,32.9357
284.237,33.0825
285.959,33.2293
287.68,33.3761
289.401,33.5963
291.123,33.7431
292.844,33.8899
294.565,34.11
296.286,34.2568
298.008,34.4036
299.729,34.5504
301.45,34.6972
303.172,34.844
304.893,34.9908
306.614,35.2109
308.336,35.4311
310.057,35.5045
311.778,35.7247
313.499,35.8715
315.221,36.0183
316.942,36.165
318.663,36.3118
320.385,36.4586
322.106,36.6054
323.827,36.7522
325.548,36.899
327.27,37.0458
328.991,37.1926
330.712,37.3393
332.434,37.4861
334.155,37.6329
335.876,37.7797
337.598,37.9265
339.319,38.0733
341.04,38.2201
342.761,38.3668
344.483,38.5136
346.204,38.587
347.925,38.6604
349.647,38.7338
372.023,40.8622
373.745,40.9356
375.466,41.0824
377.187,41.1558
378.909,41.3026
380.63,41.4494
382.351,41.5962
384.072,41.7429
385.794,41.8897
387.515,41.9631
389.236,42.1099
390.958,42.1833
392.679,42.3301
394.4,42.4769
396.122,42.6237
397.843,42.7705
399.564,42.9172
401.285,42.9906
403.007,43.064
404.728,43.2108
406.449,43.3576
408.171,43.5044
409.892,43.5778
411.613,43.7246
413.335,43.798
415.056,43.9447
416.777,44.0915
418.498,44.1649
420.22,44.3117
421.941,44.3851
423.662,44.5319
425.384,44.6787
427.105,44.7521
428.826,44.8989
430.547,44.9723
432.269,45.119
433.99,45.1924
435.711,45.3392
437.433,45.4126
439.154,45.5594
440.875,45.6328
442.597,45.7062
444.318,45.853
446.039,45.9264
447.76,46.0732
449.482,46.1466
451.203,46.2933
452.924,46.3667
454.646,46.5135
456.367,46.5869
458.088,46.6603
459.809,46.8071
461.531,46.8805
463.252,46.9539
464.973,47.0273
466.695,47.1741
468.416,47.2475
470.137,47.3942
471.859,47.4676
473.58,47.541
475.301,47.6878
477.022,47.7612
478.744,47.8346
480.465,47.908
482.186,47.9814
483.908,48.1282
485.629,48.2016
487.35,48.275
489.071,48.3484
490.793,48.4951
492.514,48.5685
494.235,48.6419
495.957,48.7153
497.678,48.8621
499.399,48.9355
501.121,49.0089
502.842,49.0823
504.563,49.1557
506.284,49.2291
508.006,49.3025
509.727,49.3759
511.448,49.4493
513.17,49.596
514.891,49.596
516.612,49.7428
518.333,49.7428
520.055,49.8896
521.776,49.8896
523.497,50.0364
525.219,50.1098
526.94,50.1832
528.661,50.2566
530.383,50.33
532.104,50.33
533.825,50.4768
535.546,50.4768
537.268,50.6236
538.989,50.6969
540.71,50.7703
542.432,50.7703
544.153,50.9171
545.874,50.9171
547.595,51.0639
549.317,51.0639
551.038,51.2107
552.759,51.2107
554.481,51.3575
556.202,51.3575
557.923,51.3575
559.645,51.5043
561.366,51.5043
563.087,51.6511
564.808,51.6511
566.53,51.7245
568.251,51.7978
569.972,51.7978
571.694,51.9446
573.415,51.9446
575.136,52.0914
576.857,52.0914
578.579,52.0914
580.3,52.2382
582.021,52.2382
583.743,52.2382
585.464,52.385
587.185,52.385
588.907,52.4584
590.628,52.5318
592.349,52.5318
594.07,52.6786
595.792,52.6786
597.513,52.752
599.234,52.8254
600.956,52.8254
602.677,52.8254
604.398,52.9721
606.119,52.9721
607.841,52.9721
609.562,53.1189
611.283,53.1189
613.005,53.1189
614.726,53.1923
616.447,53.2657
618.169,53.2657
619.89,53.2657
621.611,53.4125
623.332,53.4125
625.054,53.4125
626.775,53.5593
628.496,53.5593
630.218,53.5593
631.939,53.6327
633.66,53.7061
635.381,53.7061
637.103,53.7061
638.824,53.7061
640.545,53.8529
642.267,53.8529
643.988,53.8529
645.709,53.8529
647.431,53.9996
649.152,53.9996
650.873,53.9996
652.594,53.9996
654.316,54.1464
656.037,54.1464
657.758,54.1464
659.48,54.1464
661.201,54.2198
662.922,54.2932
664.643,54.2932
666.365,54.2932
668.086,54.2932
669.807,54.3666
671.529,54.44
673.25,54.44
674.971,54.44
676.693,54.44
678.414,54.44
680.135,54.5134
681.856,54.5868
683.578,54.5868
