flow_bpd,head
5.38774,36.9568
7.10904,36.9568
8.83033,36.9568
10.5516,36.9568
12.2729,36.9568
13.9942,36.9568
15.7155,36.9096
17.4368,36.9096
19.1581,36.9096
20.8794,36.9096
22.6007,36.8624
24.322,36.8624
26.0433,36.8624
27.7646,36.8624
29.4859,36.8624
31.2072,36.8624
32.9285,36.8624
34.6497,36.8151
36.371,36.8151
38.0923,36.8151
39.8136,36.8151
41.5349,36.7679
43.2562,36.7679
44.9775,36.7679
46.6988,36.7679
48.4201,36.7679
50.1414,36.7679
51.8627,36.7207
53.584,36.7207
55.3053,36.7207
57.0266,36.7207
58.7479,36.7207
60.4692,36.7207
62.1905,36.7207
63.9118,36.7207
65.633,36.6735
67.3543,36.6735
69.0756,36.6735
70.7969,36.6735
72.5182,36.6735
74.2395,36.6735
75.9608,36.6735
77.6821,36.6735
79.4034,36.6263
81.1247,36.6263
82.846,36.6263
84.5673,36.6263
86.2886,36.6263
88.0099,36.6263
89.7312,36.6263
91.4525,36.6263
93.1738,36.6263
94.895,36.6263
96.6163,36.6263
98.3376,36.5791
100.059,36.5791
101.78,36.5791
103.502,36.5319
105.223,36.5319
106.944,36.5319
108.665,36.5319
110.387,36.5319
112.108,36.5319
113.829,36.5319
115.551,36.5319
117.272,36.5319
118.993,36.5319
120.714,36.5319
122.436,36.5319
124.157,36.5319
125.878,36.5319
127.6,36.5319
129.321,36.5319
131.042,36.5319
132.764,36.5319
134.485,36.5319
136.206,36.5319
137.927,36.4846
139.649,36.4846
141.37,36.4846
143.091,36.4374
144.813,36.4374
146.534,36.4374
148.255,36.4374
149.976,36.4374
151.698,36.4374
153.419,36.4374
155.14,36.4374
156.862,36.4374
158.583,36.4374
160.304,36.4374
162.026,36.4374
163.747,36.4374
165.468,36.4374
167.189,36.4374
168.911,36.4374
170.632,36.4374
172.353,36.4374
174.075,36.3902
175.796,36.3902
177.517,36.3902
179.238,36.3902
180.96,36.3902
182.681,36.3902
184.402,36.3902
186.124,36.3902
187.845,36.3902
189.566,36.3902
191.288,36.3902
193.009,36.3902
194.73,36.3902
196.451,36.343
198.173,36.343
199.894,36.343
201.615,36.343
203.337,36.343
205.058,36.343
206.779,36.343
208.5,36.343
210.222,36.343
211.943,36.343
213.664,36.343
215.386,36.343
217.107,36.343
218.828,36.2958
220.55,36.2958
222.271,36.2958
223.992,36.2958
225.713,36.2958
227.435,36.2958
229.156,36.2958
230.877,36.2958
232.599,36.2958
234.32,36.2958
236.041,36.2958
237.762,36.2958
239.484,36.2958
241.205,36.2486
242.926,36.2486
244.648,36.2486
246.369,36.2486
248.09,36.2486
249.812,36.2486
251.533,36.2486
253.254,36.2486
254.975,36.2486
256.697,36.2486
258.418,36.2486
260.139,36.2486
261.861,36.2486
263.582,36.2486
265.303,36.2014
267.024,36.2014
268.746,36.2014
270.467,36.1542
272.188,36.1542
273.91,36.1542
275.631,36.1542
277.352,36.1542
279.074,36.1542
280.795,36.1542
282.516,36.1542
284.237,36.1542
285.959,36.1542
287.68,36.1542
289.401,36.1542
291.123,36.1542
292.844,36.1542
294.565,36.1542
296.286,36.1542
298.008,36.1069
299.729,36.1069
301.45,36.1069
303.172,36.0597
304.893,36.0597
306.614,36.0597
308.336,36.0597
310.057,36.0597
311.778,36.0597
313.499,36.0597
315.221,36.0597
316.942,36.0597
318.663,36.0597
320.385,36.0125
322.106,36.0125
323.827,36.0125
325.548,36.0125
327.27,36.0125
328.991,36.0125
330.712,36.0125
332.434,35.9653
334.155,35.9653
335.876,35.9653
337.598,35.9653
339.319,35.9653
341.04,35.9653
342.761,35.9653
344.483,35.9653
346.204,35.9653
347.925,35.9181
349.647,35.9181
351.368,35.9181
353.089,35.9181
354.81,35.8709
356.532,35.8709
358.253,35.8709
359.974,35.8709
361.696,35.8709
363.417,35.8709
365.138,35.8709
366.86,35.8709
368.581,35.8237
370.302,35.8237
372.023,35.7764
373.745,35.7764
375.466,35.7764
377.187,35.7764
378.909,35.7764
380.63,35.7764
382.351,35.7764
384.072,35.7764
385.794,35.7292
387.515,35.7292
389.236,35.682
390.958,35.682
392.679,35.682
394.4,35.682
396.122,35.682
397.843,35.682
399.564,35.682
401.285,35.682
403.007,35.6348
404.728,35.6348
406.449,35.5876
408.171,35.5876
409.892,35.5876
411.613,35.5876
413.335,35.5876
415.056,35.5876
416.777,35.5404
418.498,35.5404
420.22,35.4932
421.941,35.4932
423.662,35.4932
425.384,35.4932
427.105,35.4932
428.826,35.4932
430.547,35.446
432.269,35.446
433.99,35.3987
435.711,35.3987
437.433,35.3987
439.154,35.3987
440.875,35.3987
442.597,35.3987
444.318,35.3515
446.039,35.3515
447.76,35.3043
449.482,35.3043
451.203,35.3043
452.924,35.3043
454.646,35.3043
456.367,35.2571
458.088,35.2571
459.809,35.2099
461.531,35.2099
463.252,35.2099
464.973,35.2099
466.695,35.2099
468.416,35.1627
470.137,35.1155
471.859,35.1155
473.58,35.1155
475.301,35.1155
