flow_bpd,power
3.66645,0.219868
5.38774,0.219868
7.10904,0.219868
8.83033,0.220707
10.5516,0.220707
12.2729,0.220707
13.9942,0.220707
15.7155,0.220707
17.4368,0.220707
19.1581,0.220707
20.8794,0.220707
22.6007,0.220707
24.322,0.220707
26.0433,0.220707
27.7646,0.220707
29.4859,0.220707
31.2072,0.220707
32.9285,0.220707
34.6497,0.220707
36.371,0.220707
38.0923,0.220707
39.8136,0.220707
41.5349,0.220707
105.223,0.220707
106.944,0.220707
108.665,0.220707
110.387,0.221546
112.108,0.221546
113.829,0.221546
115.551,0.221546
117.272,0.221546
118.993,0.221546
120.714,0.221546
122.436,0.221546
124.157,0.221546
125.878,0.221546
127.6,0.221546
129.321,0.221546
131.042,0.222385
132.764,0.222385
134.485,0.222385
136.206,0.222385
137.927,0.222385
139.649,0.222385
141.37,0.222385
143.091,0.222385
144.813,0.222385
146.534,0.222385
148.255,0.222385
149.976,0.222385
151.698,0.222385
153.419,0.222385
155.14,0.223224
162.026,0.222385
163.747,0.223224
165.468,0.224063
167.189,0.224063
168.911,0.224063
170.632,0.224063
172.353,0.224063
174.075,0.224063
175.796,0.224063
177.517,0.224063
179.238,0.224063
180.96,0.224063
182.681,0.224063
184.402,0.224063
186.124,0.224063
187.845,0.224063
189.566,0.224902
191.288,0.224902
193.009,0.225741
194.73,0.225741
196.451,0.225741
198.173,0.225741
199.894,0.225741
201.615,0.225741
203.337,0.225741
205.058,0.225741
206.779,0.225741
208.5,0.225741
210.222,0.225741
211.943,0.225741
213.664,0.22658
215.386,0.22658
217.107,0.22658
218.828,0.227419
220.55,0.227419
222.271,0.227419
223.992,0.227419
225.713,0.227419
227.435,0.227419
229.156,0.227419
230.877,0.227419
232.599,0.228258
234.32,0.228258
236.041,0.228258
237.762,0.228258
239.484,0.229097
241.205,0.229097
242.926,0.229097
244.648,0.229097
246.369,0.229097
248.09,0.229097
249.812,0.229097
251.533,0.229097
253.254,0.229936
254.975,0.229936
256.697,0.230775
258.418,0.230775
260.139,0.230775
261.861,0.230775
263.582,0.230775
265.303,0.230775
267.024,0.230775
268.746,0.231614
270.467,0.231614
272.188,0.231614
273.91,0.232453
275.631,0.232453
277.352,0.232453
279.074,0.232453
280.795,0.232453
282.516,0.232453
284.237,0.232453
285.959,0.233292
287.68,0.233292
289.401,0.234131
291.123,0.234131
292.844,0.234131
294.565,0.234131
296.286,0.234131
298.008,0.234131
299.729,0.234131
301.45,0.23497
303.172,0.23497
304.893,0.235809
306.614,0.235809
308.336,0.235809
310.057,0.235809
311.778,0.235809
313.499,0.235809
315.221,0.236648
316.942,0.236648
318.663,0.237487
320.385,0.237487
322.106,0.237487
323.827,0.237487
325.548,0.237487
327.27,0.238326
328.991,0.238326
330.712,0.239165
332.434,0.239165
334.155,0.239165
335.876,0.239165
337.598,0.239165
339.319,0.239165
341.04,0.240004
342.761,0.240004
344.483,0.240843
346.204,0.240843
347.925,0.240843
349.647,0.240843
351.368,0.241682
353.089,0.241682
354.81,0.241682
356.532,0.242521
358.253,0.242521
359.974,0.242521
361.696,0.242521
363.417,0.242521
365.138,0.24336
366.86,0.244199
368.581,0.244199
370.302,0.244199
372.023,0.244199
373.745,0.244199
375.466,0.245038
377.187,0.245038
378.909,0.245877
380.63,0.245877
382.351,0.245877
384.072,0.245877
385.794,0.246716
387.515,0.246716
389.236,0.246716
390.958,0.247555
392.679,0.247555
394.4,0.247555
396.122,0.247555
397.843,0.247555
399.564,0.248394
401.285,0.248394
403.007,0.249233
404.728,0.249233
406.449,0.249233
408.171,0.250072
409.892,0.250072
411.613,0.250912
413.335,0.250912
415.056,0.250912
416.777,0.250912
418.498,0.251751
420.22,0.25259
421.941,0.25259
423.662,0.25259
425.384,0.25259
427.105,0.253429
428.826,0.253429
430.547,0.253429
432.269,0.254268
433.99,0.254268
435.711,0.254268
437.433,0.255107
439.154,0.255107
440.875,0.255946
442.597,0.255946
444.318,0.255946
446.039,0.255946
447.76,0.256785
449.482,0.256785
451.203,0.257624
452.924,0.257624
454.646,0.257624
456.367,0.257624
458.088,0.258463
459.809,0.259302
461.531,0.259302
463.252,0.259302
464.973,0.259302
466.695,0.260141
468.416,0.260141
470.137,0.26098
471.859,0.26098
473.58,0.26098
475.301,0.26098
477.022,0.261819
478.744,0.262658
480.465,0.262658
482.186,0.262658
483.908,0.262658
485.629,0.263497
487.35,0.264336
489.071,0.264336
490.793,0.264336
492.514,0.264336
494.235,0.265175
495.957,0.265175
497.678,0.266014
499.399,0.266014
501.121,0.266014
502.842,0.266853
504.563,0.266853
506.284,0.267692
508.006,0.267692
509.727,0.267692
511.448,0.267692
513.17,0.268531
514.891,0.26937
516.612,0.26937
518.333,0.26937
520.055,0.26937
521.776,0.270209
523.497,0.271048
525.219,0.271048
526.94,0.271048
528.661,0.271048
530.383,0.271887
532.104,0.271887
533.825,0.272726
535.546,0.272726
537.268,0.272726
538.989,0.273565
540.71,0.274404
542.432,0.274404
544.153,0.274404
545.874,0.274404
547.595,0.275243
549.317,0.276082
551.038,0.276082
552.759,0.276082
554.481,0.276082
556.202,0.276921
557.923,0.27776
559.645,0.27776
561.366,0.27776
563.087,0.27776
564.808,0.278599
566.53,0.278599
568.251,0.279438
569.972,0.279438
571.694,0.279438
573.415,0.280277
575.136,0.281116
576.857,0.281116
578.579,0.281116
580.3,0.281116
582.021,0.281955
583.743,0.282794
585.464,0.282794
587.185,0.282794
588.907,0.282794
590.628,0.283633
592.349,0.284472
594.07,0.284472
595.792,0.284472
597.513,0.284472
599.234,0.285311
600.956,0.285311
602.677,0.28615
604.398,0.28615
606.119,0.28615
607.841,0.286989
609.562,0.287828
611.283,0.287828
613.005,0.287828
614.726,0.287828
