flow_bpd,eff
-0.301554,0.469108
1.38743,0.613251
3.07642,0.901536
4.76541,1.04568
6.4544,1.26189
8.14339,1.47811
9.83237,1.69432
11.5214,1.91054
13.2103,2.12675
14.8993,2.34296
16.5883,2.55918
18.2773,2.77539
19.9663,2.99161
21.6553,3.20782
23.3443,3.35196
25.0333,3.64025
26.7223,3.78439
28.4112,4.07268
30.1002,4.21682
31.7892,4.43303
33.4782,4.64925
35.1672,4.86546
36.8562,5.08168
38.5452,5.29789
40.2342,5.51411
41.9231,5.73032
43.6121,5.94653
45.3011,6.16275
46.9901,6.30689
48.6791,6.59518
50.3681,6.73932
52.0571,7.0276
53.7461,7.17175
55.435,7.38796
57.124,7.60418
58.813,7.74832
60.502,7.96453
62.191,8.18075
63.88,8.32489
65.569,8.5411
67.258,8.75732
68.947,8.90146
70.6359,9.0456
72.3249,9.26182
74.0139,9.47803
75.7029,9.62217
77.3919,9.76632
79.0809,10.0546
80.7699,10.1987
82.4589,10.415
84.1478,10.6312
85.8368,10.8474
87.5258,11.0636
89.2148,11.3519
90.9038,11.5681
92.5928,11.7843
94.2818,12.0005
95.9708,12.2167
97.6597,12.505
99.3487,12.7212
101.038,12.9375
102.727,13.1537
104.416,13.3699
106.105,13.514
107.794,13.8023
109.483,13.9465
111.172,14.0906
112.861,14.3789
114.55,14.523
116.239,14.8113
117.928,14.9555
119.617,15.1717
121.306,15.3879
122.995,15.532
124.684,15.8203
126.373,15.9645
128.062,16.1807
129.751,16.3969
131.44,16.541
133.128,16.8293
134.817,16.9735
136.506,17.1897
138.195,17.4059
139.884,17.55
141.573,17.8383
143.262,17.9825
144.951,18.1266
146.64,18.4149
148.329,18.559
150.018,18.7752
151.707,18.9194
153.396,19.1356
155.085,19.4239
156.774,19.6401
158.463,19.7842
160.152,20.0005
161.841,20.1446
163.53,20.3608
165.219,20.577
166.908,20.7212
168.597,21.0095
170.286,21.1536
171.975,21.2977
173.664,21.514
175.353,21.7302
177.042,21.8743
178.731,22.1626
180.42,22.3067
182.109,22.4509
183.798,22.6671
185.487,22.8833
187.176,23.0275
188.865,23.3157
190.554,23.4599
192.243,23.604
193.932,23.8202
195.621,24.0365
197.31,24.1806
198.999,24.3247
200.688,24.613
202.377,24.7572
204.066,24.9013
205.755,25.1896
207.444,25.3337
209.133,25.4779
210.822,25.6941
212.511,25.9103
214.2,26.0545
215.889,26.1986
217.578,26.4148
219.267,26.631
220.956,26.7752
222.645,26.9193
234.468,28.5049
236.157,28.577
237.846,28.7211
239.535,28.7932
241.224,28.9373
242.913,29.0815
244.602,29.2977
246.291,29.5139
247.98,29.658
249.669,29.8022
251.358,29.9463
253.047,30.1625
254.736,30.3787
256.425,30.5229
258.114,30.667
259.803,30.8112
261.492,31.0274
263.181,31.2436
264.87,31.3877
266.559,31.5319
268.248,31.676
269.937,31.8922
271.626,32.0364
273.315,32.1805
275.003,32.3967
276.692,32.5409
278.381,32.685
280.07,32.8292
281.759,33.0454
283.448,33.1895
285.137,33.3337
286.826,33.5499
288.515,33.694
290.204,33.8382
291.893,33.9823
293.582,34.1264
295.271,34.3427
296.96,34.4868
298.649,34.6309
300.338,34.8472
302.027,34.9913
303.716,35.1354
305.405,35.2796
307.094,35.4237
308.783,35.5679
310.472,35.7841
312.161,35.9282
313.85,36.0003
315.539,36.2165
317.228,36.3607
318.917,36.5048
320.606,36.6489
322.295,36.7931
323.984,36.9372
325.673,37.0814
327.362,37.2255
329.051,37.3697
330.74,37.5138
332.429,37.6579
334.118,37.8021
335.807,37.9462
337.496,38.0904
339.185,38.2345
340.874,38.3787
342.563,38.5228
344.252,38.6669
345.941,38.8111
347.63,38.9552
349.319,39.0994
351.008,39.2435
352.697,39.3877
354.386,39.5318
356.075,39.6759
357.764,39.8201
359.453,39.9642
361.142,40.1084
362.831,40.2525
364.52,40.3246
366.209,40.4687
367.898,40.5408
369.587,40.6849
371.276,40.9012
372.965,40.9732
374.654,41.1174
376.343,41.2615
378.032,41.4057
379.721,41.5498
381.41,41.6939
383.099,41.8381
384.788,41.8381
386.477,41.9822
388.166,42.1264
389.855,42.2705
391.544,42.4147
393.233,42.5588
394.922,42.7029
396.611,42.775
398.3,42.8471
399.989,42.9912
401.678,43.1354
403.367,43.2795
405.056,43.3516
406.745,43.4957
408.434,43.5678
410.123,43.7119
411.812,43.8561
413.501,44.0002
415.189,44.0723
416.878,44.1444
418.567,44.2885
420.256,44.4327
421.945,44.5768
423.634,44.5768
425.323,44.7209
427.012,44.8651
428.701,44.9372
430.39,45.0813
432.079,45.1534
433.768,45.2975
435.457,45.4417
437.146,45.4417
438.835,45.5858
440.524,45.7299
442.213,45.802
443.902,45.8741
445.591,46.0182
447.28,46.1624
448.969,46.2344
450.658,46.3065
452.347,46.4507
454.036,46.5227
455.725,46.5948
457.414,46.7389
459.103,46.811
460.792,46.8831
462.481,47.0272
464.17,47.0993
465.859,47.1714
467.548,47.3155
469.237,47.3876
470.926,47.4597
