flow_bpd,head
1.38743,36.8985
3.07642,36.8985
4.76541,36.8521
6.4544,36.8521
8.14339,36.8521
9.83237,36.8521
11.5214,36.8521
13.2103,36.8056
14.8993,36.8056
16.5883,36.8056
18.2773,36.8056
19.9663,36.8056
21.6553,36.8056
23.3443,36.7592
25.0333,36.7592
26.7223,36.7592
28.4112,36.7592
30.1002,36.7592
31.7892,36.7128
33.4782,36.7128
35.1672,36.7128
36.8562,36.7128
38.5452,36.7128
40.2342,36.7128
41.9231,36.7128
43.6121,36.6664
45.3011,36.6664
46.9901,36.6664
48.6791,36.6664
50.3681,36.6664
52.0571,36.6664
53.7461,36.6664
55.435,36.6664
57.124,36.6664
58.813,36.6664
60.502,36.6199
62.191,36.5735
63.88,36.5735
65.569,36.5735
67.258,36.5735
68.947,36.5735
70.6359,36.5735
72.3249,36.5735
74.0139,36.5735
75.7029,36.5735
77.3919,36.5735
79.0809,36.5735
80.7699,36.5735
82.4589,36.5735
84.1478,36.5735
85.8368,36.5271
87.5258,36.5271
89.2148,36.4807
90.9038,36.4807
92.5928,36.4807
94.2818,36.4807
95.9708,36.4807
97.6597,36.4807
99.3487,36.4807
101.038,36.4807
102.727,36.4807
104.416,36.4807
106.105,36.4807
107.794,36.4807
109.483,36.4807
111.172,36.4807
112.861,36.4807
114.55,36.4807
116.239,36.4342
117.928,36.4342
119.617,36.4342
121.306,36.3878
122.995,36.3878
124.684,36.3878
126.373,36.3878
128.062,36.3878
129.751,36.3878
131.44,36.3878
133.128,36.3878
134.817,36.3878
136.506,36.3878
138.195,36.3878
139.884,36.3878
141.573,36.3878
143.262,36.3878
144.951,36.3878
146.64,36.3878
148.329,36.3878
150.018,36.3878
151.707,36.3878
153.396,36.3414
155.085,36.3414
156.774,36.3414
158.463,36.295
160.152,36.295
161.841,36.295
163.53,36.295
165.219,36.295
166.908,36.295
168.597,36.295
170.286,36.295
171.975,36.295
173.664,36.295
175.353,36.295
177.042,36.295
178.731,36.295
180.42,36.295
182.109,36.295
183.798,36.295
185.487,36.295
187.176,36.295
188.865,36.295
190.554,36.295
192.243,36.295
193.932,36.295
195.621,36.295
197.31,36.295
198.999,36.295
200.688,36.295
202.377,36.2485
204.066,36.2485
205.755,36.2485
207.444,36.2021
209.133,36.2021
210.822,36.2021
212.511,36.2021
214.2,36.2021
215.889,36.2021
217.578,36.2021
219.267,36.2021
220.956,36.2021
222.645,36.2021
224.334,36.2021
226.023,36.2021
227.712,36.2021
229.401,36.2021
231.09,36.2021
232.779,36.2021
234.468,36.2021
236.157,36.2021
237.846,36.2021
239.535,36.2021
241.224,36.2021
242.913,36.2021
244.602,36.2021
246.291,36.1557
247.98,36.1557
249.669,36.1093
251.358,36.1093
253.047,36.1093
254.736,36.1093
256.425,36.1093
258.114,36.1093
259.803,36.1093
261.492,36.1093
263.181,36.1093
264.87,36.1093
266.559,36.1093
268.248,36.1093
269.937,36.1093
271.626,36.1093
273.315,36.1093
275.003,36.1093
276.692,36.1093
278.381,36.1093
280.07,36.1093
281.759,36.0628
283.448,36.0628
285.137,36.0164
286.826,36.0164
288.515,36.0164
290.204,36.0164
291.893,36.0164
293.582,36.0164
295.271,36.0164
296.96,36.0164
298.649,36.0164
300.338,36.0164
302.027,36.0164
303.716,36.0164
305.405,36.0164
