flow_bpd,eff
3.27869,0.0189564
4.91803,0.189024
6.55738,0.415781
8.19672,0.642538
9.83607,0.869295
11.4754,1.09605
13.1148,1.32281
14.7541,1.54957
16.3934,1.77632
18.0328,2.00308
19.6721,2.22984
21.3115,2.45659
22.9508,2.74004
24.5902,3.02349
26.2295,3.25024
27.8689,3.477
29.5082,3.70376
31.1475,3.93051
32.7869,4.15727
34.4262,4.38403
36.0656,4.61079
42.623,5.51781
44.2623,5.74457
45.9016,5.97133
47.541,6.19808
49.1803,6.42484
50.8197,6.6516
52.459,6.87836
54.0984,7.10511
55.7377,7.33187
57.377,7.55863
59.0164,7.78538
60.6557,8.01214
62.2951,8.2389
63.9344,8.46565
65.5738,8.69241
67.2131,8.91917
68.8525,9.14592
70.4918,9.37268
72.1311,9.59944
73.7705,9.8262
75.4098,9.99626
77.0492,10.223
78.6885,10.4498
80.3279,10.6765
81.9672,10.9033
83.6066,11.13
85.2459,11.3568
86.8852,11.5836
88.5246,11.7536
90.1639,11.9804
91.8033,12.1505
93.4426,12.3772
95.082,12.604
96.7213,12.8307
98.3607,13.0008
100,13.2276
101.639,13.4543
103.279,13.6811
104.918,13.9078
106.557,14.0779
108.197,14.3046
109.836,14.5314
111.475,14.7582
113.115,14.9849
114.754,15.2117
116.393,15.3817
118.033,15.5518
119.672,15.7786
121.311,16.0053
122.951,16.1754
124.59,16.4021
126.23,16.6289
127.869,16.8557
129.508,16.969
131.148,17.1958
132.787,17.4226
134.426,17.6493
136.066,17.8194
137.705,17.9894
139.344,18.2162
140.984,18.3863
142.623,18.613
144.262,18.7831
145.902,18.9532
147.541,19.1799
149.18,19.35
150.82,19.5767
152.459,19.7468
154.098,19.9169
155.738,20.1436
157.377,20.3137
159.016,20.4838
160.656,20.7105
162.295,20.8806
163.934,21.1074
165.574,21.2774
167.213,21.4475
168.852,21.6742
170.492,21.8443
172.131,22.0144
173.77,22.2411
175.41,22.4112
177.049,22.5813
178.689,22.7513
180.328,22.9781
181.967,23.1482
183.607,23.3182
185.246,23.4883
186.885,23.7151
188.525,23.8851
190.164,24.0552
191.803,24.282
193.443,24.452
195.082,24.6221
196.721,24.7922
198.361,24.9622
200,25.189
201.639,25.359
203.279,25.5291
204.918,25.6992
206.557,25.8693
208.197,26.096
209.836,26.2094
211.475,26.4361
213.115,26.6062
214.754,26.7763
216.393,26.9463
218.033,27.1164
219.672,27.3432
221.311,27.5132
222.951,27.6833
224.59,27.8534
226.23,28.0234
227.869,28.2502
229.508,28.3636
231.148,28.5903
232.787,28.7604
234.426,28.9305
236.066,29.1572
237.705,29.2706
239.344,29.4974
240.984,29.6674
242.623,29.8375
244.262,30.0076
245.902,30.1776
247.541,30.3477
249.18,30.5178
250.82,30.7445
252.459,30.8579
254.098,31.0847
255.738,31.198
257.377,31.3681
259.016,31.5382
260.656,31.6516
262.295,31.8783
263.934,31.9917
265.574,32.1618
267.213,32.3318
268.852,32.5019
270.492,32.672
275.41,33.4089
277.049,33.4656
278.689,33.4089
280.328,33.579
281.967,33.6924
283.607,33.9191
285.246,34.0325
286.885,34.2026
288.525,34.3726
290.164,34.486
291.803,34.7128
293.443,34.8262
295.082,34.9395
296.721,35.1096
298.361,35.2797
300,35.393
301.639,35.6198
303.279,35.7332
304.918,35.8466
306.557,36.0166
308.197,36.1867
309.836,36.3568
311.475,36.4701
313.115,36.5835
314.754,36.7536
316.393,36.9237
318.033,37.037
319.672,37.2071
321.311,37.3205
322.951,37.4339
324.59,37.6039
336.066,39.1345
337.705,39.2479
339.344,39.3613
340.984,39.5314
342.623,39.6447
344.262,39.7581
345.902,39.9282
347.541,40.0416
349.18,40.1549
350.82,40.2683
352.459,40.4384
354.098,40.5518
355.738,40.6651
357.377,40.7785
359.016,40.8919
360.656,41.0053
362.295,41.1187
363.934,41.2887
365.574,41.4021
367.213,41.5722
368.852,41.7422
370.492,41.8556
372.131,42.0257
373.77,42.1391
375.41,42.3091
377.049,42.4225
378.689,42.5926
380.328,42.706
381.967,42.876
383.607,42.9894
385.246,43.1595
386.885,43.2729
388.525,43.3862
390.164,43.5563
391.803,43.7264
393.443,43.8397
395.082,43.9531
396.721,44.0665
398.361,44.2366
400,44.3499
401.639,44.52
403.279,44.6334
404.918,44.7468
406.557,44.8601
408.197,45.0869
409.836,45.2003
411.475,45.3137
413.115,45.427
414.754,45.5404
416.393,45.6538
418.033,45.7672
419.672,45.9372
421.311,46.1073
422.951,46.2207
424.59,46.3341
426.23,46.4474
427.869,46.5608
429.508,46.6742
431.148,46.7876
432.787,46.901
434.426,47.0143
436.066,47.1844
437.705,47.3545
439.344,47.4679
440.984,47.5812
442.623,47.6946
444.262,47.808
445.902,47.9214
447.541,48.0347
449.18,48.1481
450.82,48.2615
452.459,48.3749
454.098,48.4883
455.738,48.6016
457.377,48.715
459.016,48.8284
460.656,48.9418
462.295,49.0552
463.934,49.2252
465.574,49.3386
467.213,49.452
468.852,49.5654
470.492,49.6787
472.131,49.7921
473.77,49.9055
475.41,50.0189
477.049,50.1322
478.689,50.2456
480.328,50.3023
481.967,50.4724
483.607,50.5858
485.246,50.6425
486.885,50.7558
488.525,50.8692
490.164,50.9826
491.803,51.096
493.443,51.2093
495.082,51.3227
496.721,51.4361
504.918,51.9463
506.557,52.0597
508.197,52.1731
509.836,52.2864
511.475,52.3998
513.115,52.5132
514.754,52.6266
516.393,52.6833
518.033,52.7966
519.672,52.91
521.311,52.9667
522.951,53.0801
524.59,53.1935
526.23,53.3068
527.869,53.4202
529.508,53.5336
531.148,53.5903
532.787,53.7037
534.426,53.7604
536.066,53.8737
537.705,53.9871
539.344,54.1005
540.984,54.1572
542.623,54.2706
544.262,54.3273
545.902,54.4406
547.541,54.554
549.18,54.6674
550.82,54.7241
552.459,54.7808
554.098,54.8941
555.738,55.0075
557.377,55.1209
559.016,55.2343
560.656,55.291
562.295,55.3477
563.934,55.461
565.574,55.5744
567.213,55.6878
568.852,55.6878
570.492,55.8012
572.131,55.9146
573.77,56.0279
575.41,56.0279
577.049,56.1413
578.689,56.2547
580.328,56.3681
581.967,56.3681
583.607,56.4814
585.246,56.5948
586.885,56.7082
588.525,56.7082
590.164,56.8216
591.803,56.935
593.443,56.9916
595.082,57.0483
596.721,57.1617
598.361,57.2751
600,57.2751
601.639,57.3885
603.279,57.5019
604.918,57.5585
606.557,57.6152
608.197,57.7286
609.836,57.7853
611.475,57.842
613.115,57.9554
614.754,58.0121
616.393,58.0687
618.033,58.1821
619.672,58.2388
621.311,58.2955
622.951,58.4089
624.59,58.4656
626.23,58.5223
627.869,58.6356
629.508,58.6923
631.148,58.749
632.787,58.8057
634.426,58.8624
636.066,58.9758
637.705,59.0325
639.344,59.0891
640.984,59.2025
642.623,59.2025
644.262,59.3159
645.902,59.3726
647.541,59.4293
649.18,59.486
650.82,59.5427
652.459,59.656
654.098,59.7127
655.738,59.7694
657.377,59.8261
659.016,59.8828
660.656,59.9962
662.295,59.9962
663.934,60.1096
665.574,60.1662
667.213,60.2229
668.852,60.2796
670.492,60.3363
672.131,60.393
673.77,60.4497
675.41,60.5064
677.049,60.5631
678.689,60.6198
680.328,60.6764
681.967,60.7331
683.607,60.7898
685.246,60.8465
686.885,60.9032
688.525,60.9599
690.164,61.0166
691.803,61.0733
693.443,61.13
695.082,61.1867
696.721,61.2433
698.361,61.3
700,61.3567
701.639,61.4134
703.279,61.4701
704.918,61.5268
706.557,61.5835
708.197,61.6402
709.836,61.6969
711.475,61.7535
713.115,61.8102
714.754,61.8102
716.393,61.8669
718.033,61.9236
719.672,61.9803
721.311,62.037
722.951,62.0937
724.59,62.0937
726.23,62.1504
727.869,62.2071
729.508,62.2637
731.148,62.3204
732.787,62.3204
734.426,62.3771
736.066,62.4338
737.705,62.4905
739.344,62.5472
740.984,62.5472
742.623,62.6039
744.262,62.6606
745.902,62.6606
747.541,62.774
749.18,62.774
750.82,62.8306
752.459,62.8873
754.098,62.8873
755.738,62.944
757.377,63.0007
759.016,63.0007
760.656,63.0574
762.295,63.1141
763.934,63.1141
765.574,63.1708
767.213,63.2275
768.852,63.2275
770.492,63.2842
772.131,63.3408
773.77,63.3408
775.41,63.3408
777.049,63.4542
778.689,63.4542
780.328,63.4542
781.967,63.5109
783.607,63.5676
785.246,63.5676
786.885,63.5676
788.525,63.6243
790.164,63.681
791.803,63.681
793.443,63.681
795.082,63.7377
796.721,63.7944
798.361,63.7944
800,63.851
801.639,63.851
803.279,63.9077
804.918,63.9077
806.557,63.9077
808.197,63.9644
809.836,64.0211
811.475,64.0211
813.115,64.0211
814.754,64.0778
816.393,64.1345
818.033,64.1345
819.672,64.1345
821.311,64.1345
822.951,64.1912
824.59,64.2479
826.23,64.2479
827.869,64.2479
