flow_bpd,head
1.63934,38.0574
3.27869,38.0574
4.91803,38.0574
6.55738,38.0574
8.19672,38.0574
9.83607,38.0574
11.4754,38.0574
13.1148,38.0574
14.7541,38.0574
16.3934,38.0574
18.0328,38.0574
19.6721,38.0574
21.3115,38.0574
22.9508,38.0008
24.5902,38.0008
26.2295,38.0008
27.8689,38.0008
29.5082,38.0008
31.1475,38.0008
32.7869,38.0008
34.4262,38.0008
36.0656,38.0008
37.7049,38.0008
39.3443,38.0008
40.9836,38.0008
42.623,38.0008
44.2623,38.0008
45.9016,37.9441
47.541,37.9441
49.1803,37.9441
50.8197,37.9441
52.459,37.9441
54.0984,37.9441
55.7377,37.9441
57.377,37.9441
59.0164,37.9441
60.6557,37.9441
62.2951,37.9441
63.9344,37.9441
65.5738,37.9441
67.2131,37.9441
68.8525,37.9441
70.4918,37.9441
72.1311,37.9441
73.7705,37.9441
75.4098,37.9441
77.0492,37.9441
78.6885,37.9441
80.3279,37.9441
81.9672,37.9441
83.6066,37.9441
85.2459,37.9441
86.8852,37.9441
88.5246,37.9441
90.1639,37.9441
91.8033,37.9441
93.4426,37.9441
95.082,37.9441
96.7213,37.9441
98.3607,37.9441
100,37.9441
101.639,37.9441
103.279,37.9441
104.918,37.9441
106.557,37.9441
108.197,37.9441
109.836,37.9441
111.475,37.9441
113.115,37.9441
114.754,37.9441
116.393,37.9441
118.033,37.9441
119.672,37.9441
121.311,37.9441
122.951,37.9441
124.59,37.8874
126.23,37.8874
127.869,37.8874
129.508,37.8874
131.148,37.8874
132.787,37.8874
134.426,37.8874
136.066,37.8874
137.705,37.8874
139.344,37.8874
140.984,37.8874
142.623,37.8874
144.262,37.8874
145.902,37.8874
147.541,37.8874
149.18,37.8874
150.82,37.8874
152.459,37.8307
154.098,37.8307
155.738,37.8307
157.377,37.8307
159.016,37.8307
160.656,37.8307
162.295,37.8307
163.934,37.8307
165.574,37.8307
167.213,37.8307
168.852,37.8307
170.492,37.8307
172.131,37.8307
173.77,37.8307
175.41,37.8307
177.049,37.8307
178.689,37.8307
180.328,37.8307
181.967,37.8307
183.607,37.8307
185.246,37.8307
186.885,37.8307
188.525,37.8307
190.164,37.8307
191.803,37.8307
193.443,37.8307
195.082,37.8307
196.721,37.8307
198.361,37.8307
200,37.8307
201.639,37.8307
203.279,37.8307
204.918,37.8307
206.557,37.8307
208.197,37.8307
209.836,37.8307
211.475,37.8307
213.115,37.8307
214.754,37.8307
216.393,37.8307
218.033,37.8307
219.672,37.8307
221.311,37.8307
222.951,37.8307
224.59,37.8307
226.23,37.8307
227.869,37.8307
229.508,37.8307
231.148,37.8307
232.787,37.774
234.426,37.774
236.066,37.774
237.705,37.774
239.344,37.774
240.984,37.8307
242.623,37.774
244.262,37.774
245.902,37.774
247.541,37.774
249.18,37.774
250.82,37.774
252.459,37.774
254.098,37.774
255.738,37.774
257.377,37.774
259.016,37.7173
260.656,37.7173
262.295,37.7173
263.934,37.7173
265.574,37.7173
267.213,37.7173
268.852,37.7173
270.492,37.7173
272.131,37.7173
273.77,37.7173
275.41,37.6606
277.049,37.7173
278.689,37.7173
1634.43,7.1618
1636.07,7.04842
1637.7,6.93504
1639.34,6.93504
1640.98,6.82167
1642.62,6.70829
1644.26,6.6516
1645.9,6.59491
1647.54,6.53822
1649.18,6.42484
1650.82,6.31146
1652.46,6.31146
1654.1,6.19808
1655.74,6.08471
1657.38,6.08471
1659.02,5.97133
1660.66,5.91464
1662.3,5.80126
1663.93,5.74457
1665.57,5.63119
1667.21,5.5745
1668.85,5.46112
1670.49,5.34775
1672.13,5.34775
1673.77,5.23437
1675.41,5.17768
1677.05,5.0643
1678.69,5.00761
1680.33,4.95092
1681.97,4.83754
1683.61,4.78085
1685.25,4.72416
1686.89,4.61079
1688.52,4.49741
1690.16,4.44072
1691.8,4.38403
1693.44,4.27065
1695.08,4.21396
1696.72,4.15727
1698.36,4.10058
1700,3.9872
1701.64,3.93051
1703.28,3.87383
1704.92,3.76045
1706.56,3.70376
1708.2,3.64707
1709.84,3.59038
1711.48,3.477
1713.11,3.42031
1714.75,3.36362
1716.39,3.30693
1718.03,3.19355
1719.67,3.13686
1721.31,3.08018
1722.95,3.02349
1724.59,2.91011
1726.23,2.85342
1727.87,2.79673
1729.51,2.74004
1731.15,2.62666
1732.79,2.56997
1734.43,2.51328
1736.07,2.45659
1737.7,2.34322
1739.34,2.28653
1740.98,2.17315
1742.62,2.11646
1744.26,1.94639
1745.9,1.83301
1752.46,1.94639
1754.1,1.77632
1755.74,1.66294
1757.38,1.54957
1759.02,1.43619
1760.66,1.3795
1762.3,1.32281
1763.93,1.26612
1765.57,1.20943
1767.21,1.09605
1768.85,1.03936
1770.49,0.982674
1772.13,0.925984
1773.77,0.869295
1775.41,0.812606
1777.05,0.699227
1778.69,0.642538
1780.33,0.585849
1781.97,0.52916
1783.61,0.47247
1785.25,0.415781
1786.89,0.302403
1788.52,0.189024
1790.16,0.0756456
