flow_bpd,eff
0.0580326,0.165782
0.627295,0.287314
1.19656,0.408846
1.76582,0.570888
2.33508,0.73293
2.90434,0.813952
3.47361,0.975994
4.04287,1.13804
4.61213,1.21906
5.18139,1.3811
5.75066,1.50263
6.31992,1.66467
6.88918,1.78621
7.45844,1.90774
8.0277,2.06978
8.59697,2.19131
9.16623,2.31284
9.73549,2.47489
10.3048,2.63693
10.874,2.71795
11.4433,2.87999
12.0125,3.04203
12.5818,3.12306
13.1511,3.2851
13.7203,3.36612
14.2896,3.40663
14.8589,3.77123
15.4281,3.81174
15.9974,3.93327
16.5666,4.09531
17.1359,4.21684
17.7052,4.37888
18.2744,4.50042
18.8437,4.62195
19.413,4.78399
19.9822,4.86501
20.5515,5.02705
21.1207,5.1891
21.69,5.27012
22.2593,5.43216
22.8285,5.55369
23.3978,5.67522
23.967,5.83727
24.5363,5.9588
25.1056,6.08033
25.6748,6.20186
26.2441,6.3639
26.8134,6.44492
27.3826,6.60697
27.9519,6.76901
28.5211,6.85003
29.0904,7.01207
29.6597,7.1336
30.2289,7.25514
30.7982,7.37667
31.3675,7.53871
31.9367,7.61973
32.506,7.78177
33.0752,7.94382
33.6445,8.02484
34.2138,8.18688
34.783,8.2679
35.3523,8.42994
35.9216,8.59199
36.4908,8.67301
37.0601,8.83505
37.6293,8.95658
38.1986,9.07811
38.7679,9.19964
39.3371,9.36169
39.9064,9.48322
40.4757,9.60475
41.0449,9.76679
41.6142,9.88832
42.1834,10.0099
42.7527,10.1719
43.322,10.2934
43.8912,10.4555
44.4605,10.577
45.0298,10.6985
45.599,10.8606
46.1683,10.9821
46.7375,11.1036
47.3068,11.2657
47.8761,11.3467
48.4453,11.5087
51.2916,12.1569
51.8609,12.2784
52.4302,12.4
52.9994,12.562
53.5687,12.6836
54.138,12.8051
54.7072,12.9266
55.2765,13.0482
55.8457,13.2102
56.415,13.3317
56.9843,13.4533
57.5535,13.5748
58.1228,13.7368
58.6921,13.8584
59.2613,13.9799
59.8306,14.1419
60.3998,14.223
60.9691,14.385
61.5384,14.5065
62.1076,14.6281
62.6769,14.7901
63.2461,14.9116
63.8154,15.0332
64.3847,15.1547
64.9539,15.2762
65.5232,15.4383
66.0925,15.5598
66.6617,15.6813
67.231,15.8029
67.8002,15.9244
68.3695,16.0864
68.9388,16.208
69.508,16.3295
70.0773,16.4916
70.6466,16.6131
71.2158,16.7346
71.7851,16.8561
72.3543,16.9777
72.9236,17.1397
73.4929,17.2613
74.0621,17.3828
74.6314,17.5043
75.2007,17.6258
75.7699,17.7879
76.3392,17.9094
76.9084,18.031
77.4777,18.1525
78.047,18.274
78.6162,18.4361
79.1855,18.5576
79.7548,18.6791
80.324,18.8007
80.8933,18.9222
81.4625,19.0842
82.0318,19.2058
82.6011,19.3273
83.1703,19.4488
83.7396,19.5704
84.3089,19.7324
84.8781,19.8539
85.4474,19.9755
86.0166,20.097
86.5859,20.2185
87.1552,20.3401
87.7244,20.4616
88.2937,20.6236
88.863,20.7452
89.4322,20.8667
90.0015,20.9882
90.5707,21.1098
91.14,21.2313
91.7093,21.3933
92.2785,21.4744
92.8478,21.6364
93.4171,21.7579
93.9863,21.8795
94.5556,22.001
95.1248,22.1225
95.6941,22.2441
96.2634,22.3656
96.8326,22.5276
97.4019,22.6087
97.9712,22.7707
98.5404,22.8517
99.1097,23.0138
99.6789,23.0543
100.248,23.1353
100.817,23.5404
101.387,23.6214
101.956,23.6619
102.525,23.7429
103.095,23.824
103.664,23.986
104.233,24.067
104.802,24.2291
105.372,24.3101
105.941,24.4721
106.51,24.5532
107.079,24.7152
107.649,24.7962
108.218,24.9583
108.787,25.0393
109.356,25.2013
109.926,25.2824
110.495,25.4444
111.064,25.5254
111.633,25.6875
112.203,25.7685
112.772,25.9305
113.341,26.0115
113.91,26.1736
114.48,26.2546
115.049,26.4166
115.618,26.4977
116.188,26.6597
116.757,26.7407
117.326,26.9028
117.895,26.9838
118.465,27.1458
119.034,27.2269
121.311,27.713
121.88,27.794
122.449,27.9561
123.019,28.0371
123.588,28.1991
124.157,28.2801
124.726,28.4422
125.296,28.5232
125.865,28.6042
126.434,28.7663
127.004,28.8473
127.573,29.0093
128.142,29.0903
128.711,29.2524
129.281,29.3334
129.85,29.4549
130.419,29.5765
130.988,29.698
131.558,29.8195
132.127,29.9006
132.696,30.0626
133.265,30.1436
133.835,30.2246
134.404,30.3867
134.973,30.4677
135.542,30.6297
136.112,30.7108
136.681,30.7918
137.25,30.9538
137.82,31.0349
138.389,31.1564
138.958,31.2779
139.527,31.3589
140.097,31.521
140.666,31.602
141.235,31.7235
141.804,31.8451
142.374,31.9261
142.943,32.0476
143.512,32.1692
144.081,32.2502
144.651,32.3717
145.22,32.4932
145.789,32.5743
146.358,32.6958
146.928,32.8173
147.497,32.8983
148.066,33.0199
148.635,33.1414
149.205,33.2224
149.774,33.344
150.343,33.4655
150.913,33.5465
151.482,33.668
152.051,33.7491
152.62,33.8706
153.19,33.9921
153.759,34.0731
154.328,34.1542
154.897,34.2757
155.467,34.3972
156.036,34.4783
156.605,34.5998
157.174,34.6808
157.744,34.8023
158.313,34.8834
158.882,34.9644
159.451,35.0859
160.021,35.2074
160.59,35.2885
161.159,35.3695
161.729,35.491
162.298,35.572
162.867,35.6936
163.436,35.7746
164.006,35.8556
164.575,35.9771
165.144,36.0987
165.713,36.1797
166.283,36.2607
166.852,36.3417
167.421,36.4633
167.99,36.5848
168.56,36.6658
169.129,36.7468
169.698,36.8279
170.267,36.9494
170.837,37.0304
171.406,37.152
171.975,37.233
172.545,37.314
173.114,37.395
173.683,37.476
174.252,37.5976
174.822,37.7191
175.391,37.8001
175.96,37.8811
176.529,37.9622
177.099,38.0432
177.668,38.1242
178.237,38.2457
178.806,38.3673
179.376,38.4483
179.945,38.5293
180.514,38.6103
181.083,38.6914
181.653,38.7724
182.222,38.8534
182.791,38.9344
183.36,39.056
183.93,39.137
184.499,39.2585
185.068,39.3395
185.638,39.4205
186.207,39.5016
186.776,39.5826
187.345,39.6636
187.915,39.7446
188.484,39.8257
189.053,39.9067
189.622,39.9877
190.192,40.0687
190.761,40.1497
191.33,40.2308
191.899,40.3118
192.469,40.4333
193.038,40.5143
193.607,40.5954
194.176,40.6764
194.746,40.7574
195.315,40.8384
195.884,40.9194
196.454,41.0005
197.023,41.0815
197.592,41.1625
198.161,41.2435
198.731,41.3245
199.3,41.4056
199.869,41.4866
200.438,41.5676
201.008,41.6486
201.577,41.6891
202.146,41.7702
202.715,41.8512
203.285,41.9322
203.854,42.0132
204.423,42.0942
204.992,42.1753
205.562,42.2158
206.131,42.2968
206.7,42.3778
207.27,42.4588
207.839,42.5399
208.408,42.6209
208.977,42.6614
209.547,42.7424
210.116,42.8234
210.685,42.8639
211.254,42.945
211.824,43.026
212.393,43.107
212.962,43.188
213.531,43.2285
214.101,43.2691
214.67,43.3501
215.239,43.4311
215.808,43.5121
216.378,43.5931
216.947,43.5931
217.516,43.6742
218.085,43.7552
218.655,43.8362
219.224,43.9172
219.793,43.9172
220.363,43.9982
220.932,44.0793
221.501,44.1603
222.07,44.2008
222.64,44.2413
223.209,44.3223
223.778,44.4034
224.347,44.4844
224.917,44.4844
225.486,44.5654
226.055,44.6464
226.624,44.7274
227.194,44.7274
227.763,44.8085
228.332,44.8895
228.901,44.93
229.471,44.9705
230.04,45.0515
230.609,45.1325
231.179,45.1325
231.748,45.2136
232.317,45.2946
232.886,45.3351
233.456,45.3756
234.025,45.4566
234.594,45.4971
235.163,45.5376
235.733,45.6187
236.302,45.6592
236.871,45.6997
237.44,45.7807
238.01,45.8212
238.579,45.8617
239.148,45.9428
239.717,45.9833
240.287,46.0238
240.856,46.0643
241.425,46.1048
241.995,46.1858
242.564,46.2263
243.133,46.2668
243.702,46.3073
244.272,46.3479
244.841,46.4289
245.41,46.4694
245.979,46.5099
246.549,46.5504
247.118,46.5909
247.687,46.6314
248.256,46.6719
248.826,46.753
249.395,46.7935
249.964,46.834
250.533,46.8745
251.103,46.915
251.672,46.9555
252.241,46.996
252.811,47.0365
253.38,47.0771
253.949,47.1176
254.518,47.1581
255.088,47.1986
255.657,47.2391
256.226,47.2796
256.795,47.3201
257.365,47.3606
257.934,47.4011
258.503,47.4416
259.072,47.4822
259.642,47.5227
260.211,47.5632
260.78,47.6037
261.349,47.6037
261.919,47.6847
262.488,47.6847
263.057,47.7252
263.626,47.7657
264.196,47.8062
264.765,47.8468
265.334,47.8873
265.904,47.9278
266.473,47.9278
267.042,47.9683
267.611,48.0088
268.181,48.0088
268.75,48.0898
269.319,48.0898
269.888,48.1303
270.458,48.1708
271.027,48.1708
271.596,48.2113
272.165,48.2519
272.735,48.2519
273.304,48.2924
273.873,48.3329
274.442,48.3329
275.012,48.3329
275.581,48.4139
276.15,48.4139
276.72,48.4139
277.289,48.4544
277.858,48.4949
278.427,48.4949
278.997,48.5354
279.566,48.5759
280.135,48.5759
280.704,48.5759
281.274,48.5759
281.843,48.657
282.412,48.657
282.981,48.657
283.551,48.657
284.12,48.738
284.689,48.738
285.258,48.738
285.828,48.738
286.397,48.7785
286.966,48.819
287.536,48.819
288.105,48.819
288.674,48.819
289.243,48.8595
289.813,48.9
290.382,48.9
290.951,48.9
291.52,48.9
292.09,48.9
292.659,48.981
293.228,48.981
293.797,48.981
294.367,48.981
294.936,48.981
295.505,48.981
296.074,49.0216
296.644,49.0621
297.213,49.0621
297.782,49.0621
298.351,49.0621
298.921,49.0621
299.49,49.0621
300.059,49.1026
300.629,49.1431
301.198,49.1431
301.767,49.1431
302.336,49.1431
302.906,49.1431
303.475,49.1431
304.044,49.1431
304.613,49.1431
305.183,49.1431
305.752,49.1431
306.321,49.2241
306.89,49.2241
307.46,49.2241
308.029,49.2241
308.598,49.2241
309.167,49.2241
309.737,49.2241
310.306,49.2241
310.875,49.2241
311.445,49.2241
312.014,49.2646
