flow_bpd,power
81.4625,0.0736711
82.0318,0.0736711
82.6011,0.0744815
86.0166,0.0744815
86.5859,0.0736711
87.1552,0.0744815
108.787,0.0752918
109.356,0.0752918
109.926,0.0744815
113.341,0.0752918
113.91,0.0752918
114.48,0.0761022
117.895,0.0752918
118.465,0.0752918
119.034,0.0761022
140.666,0.0769126
141.235,0.0769126
141.804,0.0761022
145.22,0.0769126
145.789,0.0769126
146.358,0.077723
163.436,0.0785333
164.006,0.0785333
164.575,0.077723
167.99,0.0785333
168.56,0.0785333
169.129,0.0793437
186.207,0.0801541
186.776,0.0801541
187.345,0.0793437
190.761,0.0801541
191.33,0.0801541
191.899,0.0809644
204.423,0.0817748
204.992,0.0817748
205.562,0.0809644
208.977,0.0817748
209.547,0.0817748
210.116,0.0825852
222.64,0.0833955
223.209,0.0833955
223.778,0.0825852
227.194,0.0833955
227.763,0.0833955
228.332,0.0842059
240.856,0.0850163
241.425,0.0850163
241.995,0.0842059
245.41,0.0850163
245.979,0.0850163
246.549,0.0858267
259.072,0.086637
259.642,0.086637
260.211,0.0858267
263.626,0.086637
264.196,0.086637
264.765,0.0874474
277.289,0.0882578
277.858,0.0882578
278.427,0.0882578
290.951,0.0898785
291.52,0.0898785
292.09,0.0890681
295.505,0.0898785
296.074,0.0898785
296.644,0.0906889
309.167,0.0914993
309.737,0.0914993
310.306,0.0906889
313.722,0.0914993
314.291,0.0914993
314.86,0.0923096
327.384,0.09312
327.953,0.09312
328.522,0.0939304
341.046,0.0947407
341.615,0.0947407
342.185,0.0939304
345.6,0.0947407
346.17,0.0947407
346.739,0.0955511
363.817,0.0963615
364.386,0.0963615
364.955,0.0971719
382.033,0.0979822
382.602,0.0979822
383.172,0.0971719
386.587,0.0979822
387.156,0.0979822
387.726,0.0987926
404.804,0.099603
405.373,0.099603
405.942,0.0987926
409.358,0.099603
409.927,0.099603
410.496,0.100413
427.574,0.101224
428.143,0.101224
428.713,0.100413
432.128,0.101224
432.697,0.101224
433.267,0.100413
436.682,0.101224
437.251,0.101224
437.821,0.102034
441.236,0.101224
441.806,0.101224
442.375,0.102034
450.345,0.102034
450.914,0.102034
451.483,0.102034
452.052,0.102034
464.007,0.102844
464.576,0.102844
465.145,0.102034
468.561,0.102844
469.13,0.102844
469.699,0.102034
473.115,0.102844
473.684,0.102844
474.254,0.102034
477.669,0.102844
478.238,0.102844
478.808,0.102844
482.223,0.102844
482.792,0.102844
483.362,0.103655
486.777,0.102844
487.347,0.102844
487.916,0.103655
491.331,0.102844
491.901,0.102844
492.47,0.103655
509.548,0.103655
510.117,0.103655
510.686,0.103655
511.256,0.103655
514.102,0.103655
514.671,0.103655
515.24,0.103655
515.81,0.103655
541.426,0.103655
541.996,0.103655
542.565,0.103655
543.134,0.103655
545.981,0.103655
546.55,0.103655
547.119,0.103655
547.688,0.103655
550.535,0.103655
551.104,0.103655
551.673,0.103655
552.242,0.103655
555.089,0.103655
555.658,0.103655
556.227,0.103655
556.797,0.103655
559.643,0.102844
560.212,0.103655
560.781,0.103655
561.351,0.103655
568.751,0.102844
569.32,0.102844
569.89,0.103655
570.459,0.103655
582.413,0.102844
582.983,0.102844
583.552,0.102844
584.121,0.103655
586.967,0.102844
587.537,0.102844
588.106,0.102844
588.675,0.103655
641.617,0.102844
642.186,0.102844
642.755,0.102844
646.171,0.102844
646.74,0.102844
647.309,0.102844
647.879,0.103655
650.725,0.102844
651.294,0.102844
651.863,0.103655
652.433,0.103655
655.279,0.102844
655.848,0.102844
656.417,0.103655
656.987,0.103655
659.833,0.102844
660.402,0.103655
660.972,0.103655
661.541,0.103655
664.387,0.102844
664.956,0.103655
665.526,0.103655
666.095,0.103655
