flow_bpd,power
32.7298,1.72818
39.6936,1.72818
46.6574,1.72818
53.6212,1.72818
88.4401,1.72818
95.4039,1.72818
102.368,1.72818
109.331,1.72818
144.15,1.74033
151.114,1.72818
158.078,1.72818
165.042,1.74033
199.861,1.75248
206.825,1.75248
213.788,1.75248
220.752,1.74033
255.571,1.75248
262.535,1.75248
269.499,1.75248
276.462,1.75248
311.281,1.75248
318.245,1.75248
325.209,1.75248
332.173,1.76463
366.992,1.76463
373.955,1.75248
380.919,1.75248
387.883,1.76463
422.702,1.77678
429.666,1.77678
436.63,1.77678
443.593,1.76463
478.412,1.77678
485.376,1.77678
492.34,1.77678
499.304,1.77678
534.123,1.77678
541.086,1.77678
548.05,1.77678
555.014,1.77678
589.833,1.78892
596.797,1.80107
603.76,1.78892
610.724,1.78892
645.543,1.80107
652.507,1.80107
659.471,1.80107
666.435,1.80107
701.253,1.80107
708.217,1.80107
715.181,1.80107
722.145,1.80107
756.964,1.81322
763.928,1.82537
770.891,1.81322
777.855,1.81322
812.674,1.82537
819.638,1.82537
826.602,1.82537
833.565,1.82537
868.384,1.83752
875.348,1.82537
882.312,1.82537
889.276,1.82537
924.095,1.83752
931.058,1.84967
938.022,1.84967
944.986,1.83752
979.805,1.84967
986.769,1.84967
993.733,1.84967
1000.7,1.84967
1035.52,1.86182
1042.48,1.84967
1049.44,1.84967
1056.41,1.84967
1091.23,1.87397
1098.19,1.87397
1105.15,1.87397
1112.12,1.86182
1146.94,1.87397
1153.9,1.87397
1160.86,1.87397
1167.83,1.87397
1202.65,1.88612
1209.61,1.88612
1216.57,1.88612
1223.54,1.88612
1258.36,1.89827
1265.32,1.89827
1272.28,1.89827
1279.25,1.89827
1314.07,1.91042
1321.03,1.89827
1327.99,1.89827
1334.96,1.89827
1369.78,1.91042
1376.74,1.92257
1383.7,1.92257
1390.67,1.92257
1425.49,1.93472
1432.45,1.92257
1439.42,1.92257
1446.38,1.92257
1481.2,1.93472
1488.16,1.94687
1495.13,1.94687
1502.09,1.94687
1536.91,1.95902
1543.87,1.94687
1550.84,1.94687
1557.8,1.94687
1592.62,1.95902
1599.58,1.97117
1606.55,1.97117
1613.51,1.97117
1648.33,1.98332
1655.29,1.97117
1662.26,1.97117
1669.22,1.97117
1704.04,1.98332
1711,1.98332
1717.97,1.98332
1724.93,1.99547
1759.75,1.99547
1766.71,1.99547
1773.68,1.99547
1780.64,1.99547
1815.46,2.00762
1822.42,2.00762
1829.39,2.00762
1836.35,2.01977
1871.17,2.01977
1878.13,2.01977
1885.1,2.01977
1892.06,2.01977
1926.88,2.03192
1933.84,2.03192
1940.81,2.03192
1947.77,2.04407
1982.59,2.04407
1989.55,2.04407
1996.52,2.04407
2003.48,2.04407
2038.3,2.05621
2045.26,2.05621
2052.23,2.05621
2094.01,2.06836
2100.97,2.06836
2107.94,2.06836
2114.9,2.06836
2149.72,2.08051
2156.69,2.08051
2163.65,2.08051
2205.43,2.09266
2212.4,2.09266
2219.36,2.09266
2226.32,2.09266
2261.14,2.10481
2268.11,2.10481
2275.07,2.10481
2372.56,2.12911
2379.53,2.12911
2386.49,2.12911
2483.98,2.15341
2490.95,2.15341
2497.91,2.15341
2595.4,2.17771
2602.37,2.17771
2609.33,2.18986
2706.82,2.20201
2713.79,2.20201
2720.75,2.21416
2818.25,2.22631
2825.21,2.22631
2832.17,2.23846
2929.67,2.25061
2936.63,2.25061
2943.59,2.26276
3041.09,2.27491
3048.05,2.27491
3055.01,2.28706
3152.51,2.29921
3159.47,2.29921
3166.43,2.29921
3263.93,2.32351
3270.89,2.32351
3277.86,2.32351
3375.35,2.3478
3382.31,2.3478
3389.28,2.3478
3486.77,2.3721
3493.73,2.3721
3500.7,2.3721
3598.19,2.38425
3605.15,2.3964
3612.12,2.38425
3765.32,2.43285
3772.28,2.4207
3779.25,2.43285
3876.74,2.445
3883.7,2.445
3890.67,2.445
3988.16,2.45715
3995.13,2.4693
4002.09,2.45715
4043.87,2.48145
4050.84,2.4693
4057.8,2.48145
4155.29,2.48145
4162.26,2.4936
4169.22,2.4936
4322.42,2.50575
4329.39,2.5179
4336.35,2.5179
4489.55,2.53005
4496.52,2.5422
4503.48,2.53005
4545.26,2.55435
4552.23,2.5422
4559.19,2.5422
4712.4,2.55435
4719.36,2.5665
4726.32,2.55435
4768.11,2.57865
4775.07,2.5665
4782.03,2.5665
4935.24,2.57865
4942.2,2.5908
4949.16,2.57865
4990.95,2.5908
4997.91,2.5908
5004.87,2.5908
5325.21,2.60295
5332.17,2.61509
5339.14,2.60295
5380.92,2.61509
5387.88,2.61509
5394.85,2.61509
5436.63,2.61509
5443.59,2.61509
5450.56,2.61509
5492.34,2.61509
5499.3,2.61509
5506.27,2.61509
5548.05,2.61509
5555.01,2.61509
5561.98,2.61509
5603.76,2.62724
5610.72,2.61509
5617.69,2.61509
5659.47,2.62724
5666.43,2.61509
5673.4,2.61509
5715.18,2.62724
5722.14,2.61509
5729.11,2.62724
5770.89,2.62724
5777.86,2.61509
5784.82,2.62724
5826.6,2.62724
5833.57,2.61509
5840.53,2.62724
5882.31,2.62724
5889.28,2.61509
5896.24,2.61509
5938.02,2.61509
5944.99,2.61509
5951.95,2.61509
5993.73,2.61509
6000.7,2.61509
6007.66,2.61509
6327.99,2.60295
6334.96,2.5908
6341.92,2.60295
6383.7,2.5908
6390.67,2.5908
6397.63,2.5908
6439.42,2.57865
6446.38,2.5908
6453.34,2.57865
6606.55,2.57865
6613.51,2.5665
6620.47,2.57865
6662.26,2.5665
6669.22,2.5665
6676.18,2.5665
6829.39,2.55435
6836.35,2.5422
6843.31,2.55435
6885.1,2.5422
6892.06,2.5422
6899.03,2.5422
7052.23,2.5179
7059.19,2.5179
7066.16,2.5179
7107.94,2.50575
7114.9,2.5179
7121.87,2.50575
7219.36,2.50575
7226.32,2.4936
7233.29,2.50575
7275.07,2.48145
7282.03,2.4936
7289,2.48145
7386.49,2.48145
7393.45,2.4693
7400.42,2.48145
7442.2,2.4693
7449.16,2.4693
7456.13,2.45715
7553.62,2.45715
7560.58,2.445
7567.55,2.45715
7720.75,2.43285
7727.72,2.4207
7734.68,2.43285
7776.46,2.40855
7783.43,2.4207
7790.39,2.40855
7887.88,2.40855
7894.85,2.3964
7901.81,2.3964
7943.59,2.38425
7950.56,2.3964
7957.52,2.38425
8110.72,2.3721
8117.69,2.3721
8124.65,2.3721
8277.86,2.3478
8284.82,2.3478
8291.78,2.3478
