flow_bpd,eff
68.9421,10.033
69.6143,10.066
70.2864,10.099
70.9585,10.1649
71.6306,10.2309
72.3027,10.3298
72.9748,10.4288
73.6469,10.4947
74.319,10.6267
74.9911,10.6926
75.6632,10.7916
76.3353,10.8905
77.0074,10.9565
77.6795,11.0554
78.3516,11.1544
79.0237,11.2203
79.6958,11.3523
80.3679,11.4182
81.04,11.5172
81.7121,11.5831
82.3842,11.6821
83.0563,11.781
83.7284,11.847
84.4005,11.9459
85.0726,12.0449
85.7447,12.1108
86.4168,12.2098
87.0889,12.3087
87.761,12.3747
88.4331,12.4736
89.1052,12.5726
89.7773,12.6385
90.4494,12.7375
91.1215,12.8364
91.7936,12.9024
92.4657,13.0013
93.1378,13.1003
93.8099,13.1662
94.4821,13.2652
95.1542,13.3311
95.8263,13.4301
96.4984,13.529
97.1705,13.595
97.8426,13.6939
98.5147,13.7929
99.1868,13.8589
99.8589,13.9578
100.531,14.0567
101.203,14.1227
101.875,14.2216
102.547,14.2876
103.219,14.3866
103.891,14.4525
104.564,14.5515
105.236,14.6174
105.908,14.7164
106.58,14.7823
107.252,14.8813
107.924,14.9472
108.596,15.0462
109.268,15.1122
109.94,15.2111
110.613,15.2771
111.285,15.376
111.957,15.442
112.629,15.5409
113.301,15.6069
113.973,15.7058
114.645,15.8048
115.317,15.8707
115.989,15.9367
116.661,16.0356
117.334,16.1346
118.006,16.2005
118.678,16.2665
119.35,16.3654
120.022,16.4314
120.694,16.5304
121.366,16.5963
122.038,16.6623
122.71,16.7612
123.382,16.8602
124.055,16.9261
124.727,16.9921
125.399,17.091
126.071,17.19
126.743,17.2559
127.415,17.3219
128.087,17.3879
128.759,17.4868
129.431,17.5858
130.103,17.6517
130.776,17.7177
131.448,17.8166
132.12,17.8826
132.792,17.9815
133.464,18.0475
134.136,18.1135
134.808,18.2124
135.48,18.2784
136.152,18.3773
136.825,18.4433
137.497,18.5092
138.169,18.5752
138.841,18.7071
139.513,18.7731
140.185,18.8391
140.857,18.905
141.529,18.971
142.201,19.1029
142.873,19.1689
143.546,19.2348
144.218,19.3008
144.89,19.3668
145.562,19.4987
146.234,19.5647
146.906,19.6306
147.578,19.6966
148.25,19.7625
148.922,19.8615
149.594,19.9604
150.267,20.0264
150.939,20.0924
151.611,20.1583
152.283,20.2243
152.955,20.3562
153.627,20.4222
154.299,20.4881
154.971,20.5541
155.643,20.6201
156.315,20.686
156.988,20.8179
157.66,20.8839
158.332,20.9499
159.004,21.0158
159.676,21.0818
160.348,21.1478
161.02,21.2467
161.692,21.3457
162.364,21.4116
163.037,21.4776
163.709,21.5435
164.381,21.6095
165.053,21.6755
165.725,21.7414
166.397,21.8074
167.069,21.9063
167.741,22.0053
168.413,22.0712
169.085,22.1372
169.758,22.2032
170.43,22.2691
171.102,22.3351
171.774,22.4011
172.446,22.467
173.118,22.566
173.79,22.6649
174.462,22.7309
175.134,22.7968
175.806,22.8628
176.479,22.9288
177.151,22.9947
177.823,23.0607
178.495,23.1267
179.167,23.2256
179.839,23.2916
180.511,23.3905
181.183,23.4565
181.855,23.5224
182.528,23.5884
183.2,23.6544
183.872,23.7203
184.544,23.7863
185.216,23.8522
185.888,23.9182
186.56,24.0172
187.232,24.0831
187.904,24.1491
188.576,24.215
189.249,24.314
189.921,24.38
190.593,24.4459
191.265,24.5119
191.937,24.5778
192.609,24.6438
193.281,24.7098
193.953,24.7757
194.625,24.8417
195.297,24.9406
195.97,25.0066
196.642,25.0726
197.314,25.1385
197.986,25.2375
198.658,25.3034
199.33,25.3694
200.002,25.4354
200.674,25.5013
201.346,25.5673
202.018,25.6332
202.691,25.6992
203.363,25.7652
204.035,25.8311
204.707,25.8971
205.379,25.9631
206.051,26.029
206.723,26.095
207.395,26.161
208.067,26.2269
208.74,26.2929
209.412,26.3588
210.084,26.4578
210.756,26.5237
211.428,26.5897
212.1,26.6557
212.772,26.7216
213.444,26.7876
214.116,26.8536
214.788,26.9195
215.461,26.9855
