flow_bpd,head
0.387677,25.2012
1.05978,25.2177
1.73188,25.2012
2.40398,25.1847
3.07609,25.1847
3.74819,25.1847
4.42029,25.1517
5.0924,25.1517
5.7645,25.1517
6.4366,25.1187
7.1087,25.1187
7.78081,25.1187
8.45291,25.1022
9.12501,25.0857
9.79711,25.0857
10.4692,25.0857
11.1413,25.0528
11.8134,25.0528
12.4855,25.0528
13.1576,25.0198
13.8297,25.0198
14.5018,25.0198
15.1739,25.0033
15.846,24.9868
16.5181,24.9868
17.1902,24.9868
17.8623,24.9538
18.5344,24.9538
19.2066,24.9538
19.8787,24.9208
20.5508,24.9208
21.2229,24.9208
21.895,24.8879
22.5671,24.8879
23.2392,24.8714
23.9113,24.8549
24.5834,24.8549
25.2555,24.8384
25.9276,24.8219
26.5997,24.8219
27.2718,24.7889
27.9439,24.7889
28.616,24.7889
29.2881,24.7559
29.9602,24.7559
30.6323,24.7394
31.3044,24.7229
31.9765,24.7229
32.6486,24.7065
33.3207,24.69
33.9928,24.69
34.6649,24.657
35.337,24.657
36.0091,24.657
36.6812,24.624
37.3533,24.624
38.0254,24.6075
38.6975,24.591
39.3696,24.591
40.0417,24.558
40.7138,24.558
41.3859,24.558
42.058,24.5251
42.7301,24.5251
43.4022,24.5086
44.0744,24.4921
44.7465,24.4921
45.4186,24.4591
46.0907,24.4591
46.7628,24.4591
47.4349,24.4261
48.107,24.4261
48.7791,24.4096
49.4512,24.3931
50.1233,24.3931
50.7954,24.3602
51.4675,24.3602
52.1396,24.3602
52.8117,24.3272
53.4838,24.3272
54.1559,24.2942
54.828,24.2942
55.5001,24.2942
56.1722,24.2612
56.8443,24.2612
57.5164,24.2447
58.1885,24.2282
58.8606,24.2282
59.5327,24.1952
60.2048,24.1952
60.8769,24.1952
61.549,24.1623
62.2211,24.1623
62.8932,24.1293
63.5653,24.1293
64.2374,24.0963
64.9095,24.0963
65.5816,24.0963
66.2537,24.0633
66.9258,24.0633
67.5979,24.0303
68.27,24.0303
68.9421,24.0303
69.6143,23.9974
70.2864,23.9974
70.9585,23.9644
71.6306,23.9644
72.3027,23.9314
72.9748,23.9314
73.6469,23.9314
74.319,23.8984
74.9911,23.8984
75.6632,23.8654
76.3353,23.8654
77.0074,23.8654
77.6795,23.8324
78.3516,23.8324
79.0237,23.7995
79.6958,23.7995
80.3679,23.7665
81.04,23.7665
81.7121,23.7665
82.3842,23.7335
83.0563,23.7335
83.7284,23.7005
84.4005,23.7005
85.0726,23.6675
85.7447,23.6675
86.4168,23.6675
87.0889,23.6346
87.761,23.6346
88.4331,23.6016
89.1052,23.6016
89.7773,23.5686
90.4494,23.5686
91.1215,23.5686
91.7936,23.5356
92.4657,23.5356
93.1378,23.5026
93.8099,23.5026
94.4821,23.4696
95.1542,23.4696
95.8263,23.4696
96.4984,23.4367
97.1705,23.4367
97.8426,23.4037
98.5147,23.4037
99.1868,23.3707
99.8589,23.3707
100.531,23.3542
101.203,23.3377
101.875,23.3377
102.547,23.3047
103.219,23.3047
103.891,23.2718
104.564,23.2718
105.236,23.2388
105.908,23.2388
106.58,23.2388
107.252,23.2058
107.924,23.2058
108.596,23.1728
109.268,23.1728
109.94,23.1398
110.613,23.1398
111.285,23.1398
111.957,23.1069
112.629,23.1069
113.301,23.0739
113.973,23.0739
114.645,23.0409
115.317,23.0409
115.989,23.0079
116.661,23.0079
117.334,23.0079
118.006,22.9749
118.678,22.9749
119.35,22.9419
120.022,22.9419
120.694,22.909
121.366,22.909
122.038,22.909
122.71,22.876
123.382,22.876
137.497,22.5791
138.169,22.5462
138.841,22.5462
139.513,22.5132
140.185,22.5132
140.857,22.5132
141.529,22.4802
142.201,22.4802
142.873,22.4472
143.546,22.4472
144.218,22.4142
144.89,22.4142
145.562,22.3813
146.234,22.3813
146.906,22.3813
147.578,22.3483
148.25,22.3483
148.922,22.3153
149.594,22.3153
150.267,22.2823
150.939,22.2823
151.611,22.2493
152.283,22.2493
152.955,22.2493
153.627,22.2164
154.299,22.2164
154.971,22.1834
155.643,22.1834
156.315,22.1504
156.988,22.1504
157.66,22.1174
158.332,22.1174
159.004,22.1174
159.676,22.0844
160.348,22.0844
161.02,22.0514
161.692,22.0514
162.364,22.0185
163.037,22.0185
163.709,22.0185
164.381,21.9855
165.053,21.9855
165.725,21.9525
166.397,21.9525
167.069,21.9525
167.741,21.9195
168.413,21.9195
169.085,21.8865
169.758,21.8865
170.43,21.8536
171.102,21.8536
171.774,21.8536
172.446,21.8206
173.118,21.8206
173.79,21.7876
174.462,21.7876
175.134,21.7876
175.806,21.7546
176.479,21.7546
177.151,21.7216
177.823,21.7216
178.495,21.7216
179.167,21.6886
179.839,21.6886
180.511,21.6557
181.183,21.6557
181.855,21.6227
182.528,21.6227
183.2,21.6227
183.872,21.5897
184.544,21.5897
185.216,21.5567
185.888,21.5567
186.56,21.5567
187.232,21.5237
187.904,21.5237
188.576,21.4908
189.249,21.4908
189.921,21.4908
190.593,21.4578
191.265,21.4578
191.937,21.4248
192.609,21.4248
193.281,21.4248
193.953,21.3918
194.625,21.3918
195.297,21.3588
195.97,21.3588
196.642,21.3588
197.314,21.3259
197.986,21.3259
198.658,21.2929
199.33,21.2929
200.002,21.2929
200.674,21.2599
201.346,21.2599
202.018,21.2269
202.691,21.2269
203.363,21.2269
204.035,21.1939
204.707,21.1939
205.379,21.1609
206.051,21.1609
206.723,21.1609
207.395,21.128
208.067,21.128
208.74,21.095
209.412,21.095
210.084,21.095
210.756,21.062
211.428,21.062
212.1,21.0455
212.772,21.029
213.444,21.029
214.116,20.996
