flow_bpd,power
9.67577,12.6758
64.9456,12.6256
120.215,12.6256
175.485,12.6256
230.755,12.6256
286.025,12.6256
341.295,12.6256
396.564,12.6758
451.834,12.6758
507.104,12.6758
562.374,12.6758
617.644,12.6758
672.914,12.6758
728.183,12.6758
783.453,12.6758
838.723,12.6758
893.993,12.726
949.263,12.726
1004.53,12.726
1059.8,12.726
1115.07,12.726
1170.34,12.726
1225.61,12.726
1280.88,12.7762
1336.15,12.7762
1391.42,12.7762
1446.69,12.7762
1501.96,12.8264
1557.23,12.8264
1612.5,12.8264
1667.77,12.8264
1723.04,12.8264
1778.31,12.8767
1833.58,12.8767
1888.85,12.8767
1944.12,12.8767
1999.39,12.9269
2054.66,12.9269
2109.93,12.9269
2165.2,12.9771
2220.47,12.9771
2275.74,13.0273
2331.01,13.0273
2386.28,13.0273
2441.55,13.0273
2496.82,13.0775
2552.09,13.0775
2607.36,13.0775
2662.63,13.1277
2717.9,13.1277
2773.17,13.1779
2828.44,13.1779
2994.25,13.1779
3049.52,13.2282
3104.79,13.2784
3160.06,13.2784
3215.32,13.3286
3270.59,13.3286
3325.86,13.3286
3381.13,13.3788
3436.4,13.429
3491.67,13.429
3546.94,13.429
3602.21,13.4792
3657.48,13.4792
3712.75,13.5295
3768.02,13.5295
3823.29,13.5797
3878.56,13.5797
3933.83,13.5797
3989.1,13.6299
4044.37,13.6299
4099.64,13.6801
4154.91,13.7303
4210.18,13.7303
4265.45,13.7303
4320.72,13.7805
4375.99,13.8307
4431.26,13.8307
4486.53,13.881
4541.8,13.881
4597.07,13.9312
4652.34,13.9312
4707.61,13.9814
4762.88,14.0316
4818.15,14.0316
4873.42,14.0316
4928.69,14.0818
4983.96,14.132
5039.23,14.132
5094.5,14.1822
5149.77,14.1822
5205.04,14.2325
5260.31,14.2325
5315.58,14.2827
5370.85,14.3329
5426.12,14.3329
5481.39,14.3831
5536.66,14.3831
5591.93,14.4333
5647.2,14.4333
5702.47,14.4835
5757.74,14.5337
5813.01,14.5337
5868.28,14.584
5923.55,14.584
5978.82,14.6342
6034.09,14.6342
6089.36,14.6844
6144.63,14.7346
6199.89,14.7346
6255.16,14.7848
6310.43,14.835
6365.7,14.835
6420.97,14.8853
6476.24,14.9355
6531.51,14.9355
6586.78,14.9857
6642.05,15.0359
6697.32,15.0359
6752.59,15.0359
6807.86,15.0861
6863.13,15.1363
6918.4,15.1363
6973.67,15.1865
7028.94,15.2368
7084.21,15.2368
7139.48,15.287
7194.75,15.3372
7250.02,15.3372
7305.29,15.3874
7360.56,15.4376
7415.83,15.4376
7471.1,15.4878
7526.37,15.538
7581.64,15.538
7636.91,15.538
7692.18,15.5883
7747.45,15.6385
7802.72,15.6385
7857.99,15.6887
7913.26,15.7389
7968.53,15.7389
8023.8,15.7891
8079.07,15.8393
8134.34,15.8393
8189.61,15.8896
8244.88,15.9398
8300.15,15.9398
8355.42,15.99
8410.69,16.0402
8465.96,16.0402
8521.23,16.0904
8576.5,16.1406
8631.77,16.1406
8687.04,16.1908
8742.31,16.2411
8797.58,16.2411
8852.85,16.2913
8908.12,16.3415
8963.39,16.3415
9018.66,16.3917
9073.93,16.4419
9129.19,16.4419
9184.46,16.4921
9239.73,16.5423
9295,16.5423
9350.27,16.5926
9405.54,16.6428
9460.81,16.6428
9516.08,16.6428
9571.35,16.693
9626.62,16.7432
9681.89,16.7432
9737.16,16.7934
9792.43,16.8436
9847.7,16.8436
9902.97,16.8938
9958.24,16.9441
10013.5,16.9441
10068.8,16.9943
10124.1,17.0445
10179.3,17.0445
10234.6,17.0947
10289.9,17.1449
10345.1,17.1449
10400.4,17.1951
10455.7,17.2454
10510.9,17.2454
10566.2,17.2956
10621.5,17.3458
10676.7,17.3458
10732,17.3458
10787.3,17.396
10842.6,17.4462
10897.8,17.4462
10953.1,17.4964
11008.4,17.5466
11063.6,17.5466
11118.9,17.5969
11174.2,17.5969
11229.4,17.6471
11284.7,17.6973
11340,17.7475
11395.3,17.7475
11450.5,17.7475
11505.8,17.7977
11561.1,17.8479
11616.3,17.8479
11671.6,17.8981
11726.9,17.9484
11782.1,17.9484
11837.4,17.9986
11892.7,18.0488
11948,18.0488
12003.2,18.0488
12058.5,18.099
12113.8,18.1492
12169,18.1492
12224.3,18.1994
12279.6,18.2497
12334.8,18.2497
12390.1,18.2999
12445.4,18.3501
12500.7,18.3501
12555.9,18.3501
12611.2,18.4003
12666.5,18.4505
12721.7,18.4505
12777,18.5007
12832.3,18.5007
12887.5,18.5509
12942.8,18.5509
12998.1,18.6012
13053.4,18.6514
13108.6,18.6514
13163.9,18.7016
13219.2,18.7016
13274.4,18.7518
13329.7,18.7518
13385,18.802
13440.2,18.802
13495.5,18.8522
13550.8,18.8522
13606,18.9024
13661.3,18.9527
13716.6,18.9527
13771.9,18.9527
13827.1,19.0029
13882.4,19.0531
13937.7,19.0531
13992.9,19.0531
14048.2,19.1033
14103.5,19.1535
14158.7,19.1535
14214,19.1535
14269.3,19.2037
14324.6,19.254
14379.8,19.254
14435.1,19.3042
14490.4,19.3042
14545.6,19.3544
14600.9,19.3544
14656.2,19.3544
14711.4,19.4046
14766.7,19.4548
14822,19.4548
14877.3,19.4548
14932.5,19.505
14987.8,19.5552
15043.1,19.5552
15098.3,19.5552
15153.6,19.6055
15208.9,19.6055
15264.1,19.6557
15319.4,19.6557
15374.7,19.7059
15430,19.7059
15485.2,19.7561
15540.5,19.7561
15595.8,19.7561
15651,19.8063
15706.3,19.8063
15761.6,19.8565
15816.8,19.8565
15872.1,19.9067
15927.4,19.9067
15982.7,19.957
16037.9,19.957
16093.2,19.957
16148.5,20.0072
16203.7,20.0072
16259,20.0574
16314.3,20.0574
16369.5,20.0574
16424.8,20.1076
16480.1,20.1076
16535.3,20.1578
16590.6,20.1578
16645.9,20.1578
16701.2,20.208
16756.4,20.208
16811.7,20.2582
16867,20.2582
16922.2,20.2582
16977.5,20.2582
17032.8,20.3085
17088,20.3085
17143.3,20.3587
17198.6,20.3587
17253.9,20.3587
17309.1,20.4089
17364.4,20.4089
17419.7,20.4089
17474.9,20.4591
17530.2,20.4591
17585.5,20.4591
17640.7,20.5093
17696,20.5093
17751.3,20.5093
17806.6,20.5595
17861.8,20.5595
17917.1,20.5595
17972.4,20.5595
18027.6,20.6098
18082.9,20.6098
18138.2,20.66
18193.4,20.66
18248.7,20.66
18304,20.66
18359.3,20.7102
18414.5,20.7102
18469.8,20.7102
18525.1,20.7102
18580.3,20.7604
18635.6,20.7604
18690.9,20.7604
18746.1,20.7604
18801.4,20.8106
18856.7,20.8106
18912,20.8106
18967.2,20.8608
19022.5,20.8608
19077.8,20.8608
19133,20.8608
19188.3,20.8608
19243.6,20.911
19298.8,20.911
19354.1,20.911
19409.4,20.911
19464.7,20.9613
19519.9,20.9613
19575.2,20.9613
19630.5,20.9613
19685.7,20.9613
19741,21.0115
19796.3,21.0115
19851.5,21.0115
19906.8,21.0115
19962.1,21.0115
20017.3,21.0617
20072.6,21.0617
20127.9,21.0617
20183.2,21.0617
20238.4,21.0617
20293.7,21.0617
20349,21.0617
20404.2,21.1119
20459.5,21.1119
20514.8,21.1119
20570,21.1119
20625.3,21.1119
20680.6,21.1119
20735.9,21.1119
20791.1,21.1621
20846.4,21.1621
20901.7,21.1621
20956.9,21.1621
21012.2,21.1621
21067.5,21.1621
21122.7,21.1621
21178,21.1621
21233.3,21.1621
21288.6,21.1621
21343.8,21.1621
21399.1,21.2123
21454.4,21.2123
21509.6,21.2123
21564.9,21.2123
21620.2,21.2123
21675.4,21.2123
21730.7,21.2123
21786,21.2123
21841.3,21.2123
21896.5,21.2123
21951.8,21.2123
22007.1,21.2123
22062.3,21.2123
22117.6,21.2123
22172.9,21.2123
22228.1,21.2123
22283.4,21.2123
22338.7,21.2123
22394,21.2123
22449.2,21.2123
22504.5,21.2123
22559.8,21.2123
22615,21.2123
22670.3,21.2123
22725.6,21.2123
22780.8,21.2123
22836.1,21.2123
22891.4,21.2123
22946.6,21.2123
23001.9,21.2123
23057.2,21.2123
23112.5,21.2123
23167.7,21.2123
23223,21.2123
23278.3,21.2123
23333.5,21.1621
23388.8,21.1621
23444.1,21.1621
23499.3,21.1621
23554.6,21.1621
23609.9,21.1621
23665.2,21.1621
23720.4,21.1621
23775.7,21.1621
23831,21.1621
23886.2,21.1621
23941.5,21.1119
23996.8,21.1119
24052,21.1119
24107.3,21.1119
24162.6,21.1119
24217.9,21.1119
24273.1,21.0617
24328.4,21.0617
24383.7,21.0617
24438.9,21.0617
24494.2,21.0617
24549.5,21.0617
24604.7,21.0115
24660,21.0115
24715.3,21.0115
24770.6,21.0115
24825.8,21.0115
