flow_bpd,eff
0.0249569,0.389892
31.6205,0.701661
63.216,1.3252
94.8115,1.79285
126.407,2.2605
158.002,2.72815
189.598,3.19581
221.193,3.81934
252.789,4.28699
284.384,4.75465
315.98,5.2223
347.575,5.68995
379.171,6.1576
410.766,6.78114
442.362,7.24879
473.957,7.71644
505.553,8.1841
537.148,8.65175
568.744,9.1194
600.339,9.58705
631.935,10.0547
663.53,10.5224
695.126,10.99
726.721,11.4577
758.317,11.9253
789.912,12.393
821.508,12.8606
853.103,13.3283
884.699,13.64
916.294,14.2636
947.89,14.5753
979.485,15.043
1011.08,15.5106
1042.68,15.9783
1074.27,16.446
1105.87,16.7577
1137.46,17.3813
1169.06,17.693
1200.65,18.0048
1232.25,18.4724
1263.84,18.9401
1295.44,19.2519
1327.04,19.7195
1358.63,20.1872
1390.23,20.4989
1421.82,20.8107
1453.42,21.4342
1485.01,21.746
1516.61,22.0578
1548.2,22.3695
1579.8,22.9931
1611.4,23.3049
1642.99,23.6166
1674.59,23.9284
1706.18,24.2402
1737.78,24.8637
1769.37,25.1755
1800.97,25.4872
1832.56,25.799
1864.16,26.1108
1895.75,26.4225
1927.35,26.7343
1958.95,27.202
1990.54,27.5137
2022.14,27.9814
2053.73,28.2931
2085.33,28.6049
2116.92,28.9167
2148.52,29.2284
2180.11,29.5402
2211.71,29.852
2243.31,30.1638
2274.9,30.4755
2306.5,30.7873
2338.09,31.0991
2369.69,31.4108
2401.28,31.5667
2432.88,31.8785
2464.47,32.3461
2496.07,32.6579
2527.66,32.8138
2559.26,33.1255
2590.86,33.4373
2622.45,33.7491
2654.05,34.0609
2685.64,34.2167
2717.24,34.5285
2748.83,34.8403
2780.43,35.152
2812.02,35.3079
2843.62,35.6197
2875.22,35.9315
2906.81,36.2432
2938.41,36.3991
2970,36.7109
3001.6,36.8668
3033.19,37.1785
3064.79,37.4903
3096.38,37.6462
3127.98,37.8021
3159.57,38.1138
3191.17,38.4256
3222.77,38.5815
3254.36,38.8933
3285.96,39.0491
3317.55,39.3609
3349.15,39.5168
3380.74,39.8286
3412.34,39.9844
3443.93,40.1403
3475.53,40.4521
3507.13,40.608
3538.72,40.9198
3570.32,41.0756
3601.91,41.2315
3633.51,41.5433
3665.1,41.8551
3696.7,41.8551
3728.29,42.1668
3759.89,42.3227
3791.48,42.4786
3823.08,42.7904
3854.68,42.9462
3886.27,43.1021
3917.87,43.4139
3949.46,43.5698
3981.06,43.7257
4012.65,43.8815
4044.25,44.0374
4075.84,44.3492
4107.44,44.3492
4139.04,44.661
4170.63,44.8169
4202.23,44.9727
4233.82,45.2845
4265.42,45.2845
4297.01,45.5963
4328.61,45.5963
4360.2,45.908
4391.8,46.0639
4423.39,46.2198
4454.99,46.5316
4486.59,46.5316
4518.18,46.8433
4549.78,46.8433
4581.37,47.1551
4612.97,47.1551
4644.56,47.4669
4676.16,47.4669
4707.75,47.7787
4739.35,47.7787
4770.95,48.0904
4802.54,48.0904
4834.14,48.4022
4865.73,48.4022
4897.33,48.714
4928.92,48.714
4960.52,49.0257
4992.11,49.0257
5023.71,49.3375
5055.3,49.3375
5086.9,49.6493
5118.5,49.6493
5150.09,49.961
5181.69,49.961
5213.28,49.961
5244.88,50.2728
5276.47,50.2728
5308.07,50.5846
5339.66,50.5846
5371.26,50.8963
5402.86,50.8963
5434.45,51.2081
5466.05,51.2081
5497.64,51.2081
5529.24,51.5199
5560.83,51.5199
5592.43,51.8316
5624.02,51.8316
5655.62,51.8316
5687.21,52.1434
5718.81,52.1434
5750.41,52.4552
5782,52.4552
5813.6,52.4552
5845.19,52.7669
5876.79,52.7669
5908.38,53.0787
5939.98,53.0787
5971.57,53.2346
6003.17,53.3905
6034.77,53.3905
6066.36,53.7022
6097.96,53.7022
6129.55,53.7022
6161.15,54.014
6192.74,54.014
6224.34,54.014
6255.93,54.3258
6287.53,54.3258
6319.12,54.6376
6350.72,54.6376
6382.32,54.6376
6413.91,54.9493
6445.51,54.9493
6477.1,54.9493
6508.7,55.2611
6540.29,55.2611
6571.89,55.2611
6603.48,55.5729
6635.08,55.5729
6666.67,55.5729
6698.27,55.8846
6729.87,55.8846
6761.46,55.8846
6793.06,56.1964
6824.65,56.1964
6856.25,56.1964
6887.84,56.5082
6919.44,56.5082
6951.03,56.5082
6982.63,56.8199
7014.23,56.8199
7045.82,56.8199
7077.42,57.1317
7109.01,57.1317
7140.61,57.1317
7172.2,57.4435
7203.8,57.4435
7235.39,57.4435
7266.99,57.4435
7298.58,57.7552
7330.18,57.7552
7361.78,57.7552
7393.37,58.067
7424.97,58.067
7456.56,58.067
7488.16,58.067
7519.75,58.3788
7551.35,58.3788
7582.94,58.3788
7614.54,58.6905
7646.14,58.6905
7677.73,58.6905
7709.33,58.6905
7740.92,59.0023
7772.52,59.0023
7804.11,59.0023
7835.71,59.0023
7867.3,59.3141
7898.9,59.3141
7930.49,59.3141
7962.09,59.6258
7993.69,59.6258
8025.28,59.6258
8056.88,59.6258
8088.47,59.9376
8120.07,59.9376
8151.66,59.9376
8183.26,59.9376
8214.85,59.9376
8246.45,60.2494
8278.05,60.2494
8309.64,60.2494
8341.24,60.2494
8372.83,60.4053
8404.43,60.5611
8436.02,60.5611
8467.62,60.5611
8499.21,60.5611
8530.81,60.8729
8562.4,60.8729
8594,60.8729
8625.6,60.8729
8657.19,60.8729
8688.79,61.1847
8720.38,61.1847
8751.98,61.1847
8783.57,61.1847
8815.17,61.1847
8846.76,61.3406
8878.36,61.4965
8909.96,61.4965
8941.55,61.4965
8973.15,61.4965
9004.74,61.4965
9036.34,61.6523
9067.93,61.8082
9099.53,61.8082
9131.12,61.8082
9162.72,61.8082
9194.31,61.8082
9225.91,61.8082
9257.51,61.9641
9289.1,62.12
9320.7,62.12
9352.29,62.12
9383.89,62.12
9415.48,62.12
9447.08,62.12
9478.67,62.12
9510.27,62.2759
9541.87,62.4318
9573.46,62.4318
9605.06,62.4318
9636.65,62.4318
9668.25,62.4318
9699.84,62.4318
9731.44,62.4318
9763.03,62.4318
9794.63,62.4318
9826.22,62.5876
9857.82,62.5876
9889.42,62.5876
9921.01,62.5876
9952.61,62.7435
9984.2,62.7435
10015.8,62.7435
10047.4,62.7435
10079,62.7435
10110.6,62.7435
10142.2,62.7435
10173.8,62.7435
10205.4,62.7435
10237,62.7435
10268.6,62.7435
10300.2,62.7435
10331.8,62.7435
10363.3,62.7435
10394.9,62.7435
10426.5,62.7435
10458.1,62.7435
10489.7,62.7435
10521.3,62.7435
10552.9,62.7435
10584.5,62.7435
10616.1,62.7435
10647.7,62.7435
10679.3,62.7435
10710.9,62.7435
10742.5,62.7435
10774.1,62.5876
10805.7,62.5876
10837.3,62.4318
10868.9,62.4318
10900.5,62.4318
10932.1,62.4318
10963.7,62.4318
10995.3,62.4318
11026.9,62.4318
11058.4,62.4318
11090,62.4318
11121.6,62.2759
11153.2,62.12
11184.8,62.12
11216.4,62.12
11248,62.12
11279.6,62.12
11311.2,62.12
11342.8,61.9641
11374.4,61.8082
11406,61.8082
11437.6,61.8082
11469.2,61.8082
11500.8,61.8082
11532.4,61.4965
11564,61.4965
11595.6,61.4965
11627.2,61.4965
11658.8,61.3406
11690.4,61.1847
11722,61.1847
11753.6,61.1847
11785.1,61.1847
11816.7,60.8729
11848.3,60.8729
11879.9,60.8729
11911.5,60.8729
11943.1,60.5611
11974.7,60.5611
12006.3,60.717
12037.9,60.4053
12069.5,60.2494
12101.1,60.2494
12132.7,59.9376
12164.3,59.9376
12195.9,59.9376
12227.5,59.9376
12259.1,59.6258
12290.7,59.6258
12322.3,59.6258
12353.9,59.3141
12385.5,59.3141
12417.1,59.0023
12448.7,59.0023
12480.2,59.0023
12511.8,58.6905
12543.4,58.6905
12575,58.3788
12606.6,58.3788
12638.2,58.3788
12669.8,58.067
12701.4,58.067
12733,57.7552
12764.6,57.7552
12796.2,57.5993
12827.8,57.4435
12859.4,57.2876
12891,57.1317
12922.6,57.1317
12954.2,56.8199
12985.8,56.8199
13017.4,56.5082
13049,56.5082
13080.6,56.1964
13112.2,56.1964
13143.8,55.8846
13175.3,55.7287
13206.9,55.5729
13238.5,55.2611
13270.1,55.2611
13301.7,54.9493
13333.3,54.9493
13364.9,54.6376
13396.5,54.4817
13428.1,54.3258
13459.7,54.014
13491.3,54.014
13522.9,53.7022
13554.5,53.3905
13586.1,53.3905
13617.7,53.0787
13649.3,52.7669
13680.9,52.7669
13712.5,52.4552
13744.1,52.2993
13775.7,52.1434
13807.3,51.8316
13838.9,51.6758
13870.4,51.364
13902,51.2081
13933.6,50.8963
13965.2,50.7404
13996.8,50.4287
14028.4,50.2728
14060,49.961
14091.6,49.8051
14123.2,49.6493
14154.8,49.3375
14186.4,49.0257
14218,48.714
14249.6,48.5581
14281.2,48.4022
14312.8,48.0904
14344.4,47.7787
14376,47.6228
14407.6,47.311
14439.2,46.9992
14470.8,46.8433
14502.4,46.5316
14534,46.2198
14565.5,45.908
14597.1,45.7522
14628.7,45.4404
14660.3,45.4404
15323.8,38.5815
15355.4,38.4256
15387,38.1138
15418.6,37.8021
15450.2,37.4903
15481.8,37.0227
15513.4,36.7109
15545,36.3991
15576.6,36.0873
15608.2,35.7756
15639.8,35.4638
15671.4,35.152
15703,34.8403
15734.6,34.3726
15766.2,33.905
15797.8,33.5932
15829.4,33.2814
15861,32.9697
15892.6,32.6579
15924.2,32.1902
15955.8,31.7226
15987.3,31.4108
16018.9,31.0991
16050.5,30.7873
16082.1,30.4755
16113.7,29.852
16145.3,29.6961
16176.9,29.5402
17282.8,14.5753
17314.4,14.4195
17346,14.1077
17377.5,13.64
17409.1,13.3283
17440.7,12.7047
17472.3,12.393
17503.9,11.7694
17535.5,11.4577
17567.1,11.1459
17598.7,10.5224
17630.3,10.2106
17661.9,9.74294
17693.5,9.27528
17725.1,8.96352
17756.7,8.33998
17788.3,8.02821
17819.9,7.40468
17851.5,6.93702
17883.1,6.46937
