flow_bpd,head
3.47788,26.7871
12.157,26.7536
20.8362,26.7202
29.5154,26.6867
38.1945,26.6532
46.8737,26.6198
55.5529,26.5863
64.232,26.5528
72.9112,26.5193
81.5904,26.4859
90.2695,26.4524
98.9487,26.4189
107.628,26.3855
116.307,26.352
124.986,26.3185
133.665,26.2851
142.345,26.2516
151.024,26.2181
159.703,26.1847
168.382,26.1512
177.061,26.1177
185.74,26.0843
194.42,26.0843
203.099,26.0173
211.778,26.0173
220.457,25.9504
229.136,25.9504
237.815,25.8835
246.495,25.8835
255.174,25.8165
263.853,25.8165
272.532,25.7496
281.211,25.7496
289.89,25.6827
298.57,25.6827
307.249,25.6157
315.928,25.6157
324.607,25.5488
333.286,25.5488
341.965,25.4819
350.645,25.4819
359.324,25.4149
368.003,25.4149
376.682,25.348
385.361,25.348
394.04,25.2811
402.72,25.2811
411.399,25.2141
420.078,25.2141
428.757,25.1472
437.436,25.1472
446.115,25.0803
454.795,25.0803
463.474,25.0133
472.153,25.0133
480.832,24.9464
489.511,24.9464
498.19,24.9129
506.87,24.8795
515.549,24.846
524.228,24.8125
532.907,24.7791
541.586,24.7456
550.265,24.7121
558.945,24.6787
567.624,24.6452
576.303,24.6117
584.982,24.5783
593.661,24.5448
602.34,24.5113
611.02,24.4779
619.699,24.4444
628.378,24.4109
637.057,24.344
645.736,24.344
654.415,24.2771
663.095,24.2771
671.774,24.2101
680.453,24.2101
689.132,24.1432
697.811,24.1432
706.49,24.0763
715.169,24.0763
723.849,24.0093
732.528,24.0093
741.207,23.9424
749.886,23.9424
758.565,23.8755
767.244,23.8755
775.924,23.8085
784.603,23.8085
793.282,23.7416
801.961,23.7416
810.64,23.6747
819.319,23.6747
827.999,23.6077
836.678,23.6077
845.357,23.5408
854.036,23.5408
862.715,23.4739
871.394,23.4739
880.074,23.4069
888.753,23.4069
897.432,23.34
906.111,23.34
914.79,23.273
923.469,23.273
932.149,23.2061
940.828,23.1726
949.507,23.1392
958.186,23.1057
966.865,23.0722
975.544,23.0388
984.224,23.0053
992.903,22.9718
1001.58,22.9384
1010.26,22.8714
1018.94,22.8714
1027.62,22.8045
1036.3,22.8045
1044.98,22.7376
1053.66,22.7376
1062.34,22.6706
1071.02,22.6706
1079.69,22.6037
1088.37,22.6037
1097.05,22.5368
1105.73,22.5368
1114.41,22.4698
1123.09,22.4364
1131.77,22.4029
1140.45,22.3694
1149.13,22.336
1157.81,22.269
1166.49,22.269
