sheet,page,workdir,status,flags,head_r2,head_max_resid_pct,power_r2,power_max_resid_pct,eff_r2,eff_max_resid_pct,hyd_check_pts
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-000.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-000,review,"eff: max residual 5.62% of axis span; eff: degree 6 would meet the residual limit (1.82% of span) -- extraction looks clean, 5th-degree form is limiting",0.999996338049668,0.5087245654651716,0.9999785600497167,0.1594719969037596,0.9992669921627318,5.615110553173112,0.9724046598788902
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-001.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-001,ok,,0.9999926284235062,0.6076186713048267,0.9999802532912319,0.09973442072568517,0.9999885412347037,0.6807174901032711,0.8797606289163866
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-002.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-002,needs-axes,template roles not found: ['eff (right:1)'],,,,,,,
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-003.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-003,needs-axes,template roles not found: ['eff (right:1)'],,,,,,,
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-004.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-004,needs-axes,template roles not found: ['eff (right:1)'],,,,,,,
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-005.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-005,needs-axes,template roles not found: ['eff (right:1)'],,,,,,,
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-006.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-006,needs-axes,template roles not found: ['eff (right:1)'],,,,,,,
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-007.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-007,needs-axes,template roles not found: ['eff (right:1)'],,,,,,,
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-008.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-008,needs-axes,template roles not found: ['eff (right:1)'],,,,,,,
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-009.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-009,needs-axes,template roles not found: ['eff (right:1)'],,,,,,,
